Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_7.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_8.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_7.raw
A2AKK5	A2AKK5;Q8BGG9	ACNT1_MOUSE	Acnat1	Acyl-coenzyme A amino acid N-acyltransferase 1	6583.83	4319.01										1878.45	2713.78		2131.62	1764.88	2144.44	1484.88	1936.31	2175.43	1962.89	2036.4	1153.82	2108.19	2088.26	1957.01
A2AKQ0	A2AKQ0	S35D1_MOUSE	Slc35d1	Nucleotide sugar transporter SLC35D1	2824.67				17205.3	4124.84						5374.7	3465.93	9623.48	4225.09	4354.5	3361.32	3395.97	3531.12	4238.97	3619.78	3381.38	7181.25	5490.42	2888.22	3495.9
A2ALW5	A2ALW5	DJC25_MOUSE	Dnajc25	DnaJ homolog subfamily C member 25	1657.78	1425.41				2302.13						1526.95			1119.6	1194.56	1420.8	1409.95	1349.37	1806.88	943.363	730.406	1531.42	714.244	1082.04	1125.15
A2AN08	A2AN08	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	3396.83	4354.99	11340.7	3466.27	4437.26							4414.72	3424.39		3359.37	2761.45	3485.34	3636.45	3712.74	3436.6	3280.71	2849.51	3415.65	4428.57	3780.46	4121.75
A2APV2	Q9JL26;A2APV2	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	18965.4	13273.2	117851	25001.9		4105.97				615178		7028.62	7722.56		8005.72	8246.78	10534.7	11296.4			5002.49	4361.89				
A2AQ19	A2AQ19	RTF1_MOUSE	Rtf1	RNA polymerase-associated protein RTF1 homolog				2299.91	2309.72	2966.13									1162.75	194.301				934.23	598.109	758.466	2103.92		1393.67	1214.02
A2AQP0	A2AQP0	MYH7B_MOUSE	Myh7b	Myosin-7B	11296.3	11863.6		26634.7								14691.5			15498.7				15330.8	19238.4	1090.51	15960.5	22783.1			16901
A2AR02	A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G						5691.02							1046.93		1454.11	887.699		674.208		1131.18	848.505	559.61		1009.36	1847.08	2219.28
A2AS89	A2AS89	GDAH_MOUSE	Agmat	Guanidino acid hydrolase, mitochondrial	16446.6	19052.7		7192.61		4935.85						8454.18	6558.28	5249.68	7340.49	6788.15	7999.53	5744.14	7604.94	3734.29	6187.6	7251.5	5061.24	6559.53	6088.92	4665.27
A2ASS6	A2ASS6	TITIN_MOUSE	Ttn	Titin	14279	2882.97		3914.68		6053.4							2272.67		1980.83	1933.47	1703.5	2776.82			1977.47	2976.56	3987.29	2952.64	2723.64	2597.83
A2ASZ8	A2ASZ8	SCMC2_MOUSE	Slc25a25	Mitochondrial adenyl nucleotide antiporter SLC25A25													1221.87		971.356	982.959		1327.86	1984.93		710.435	907.548		1340.82	1428.12	1626.97
A2AT37	A2AT37	RENT2_MOUSE	Upf2	Regulator of nonsense transcripts 2	7583.49	5351.99	10727.7	1703.65		1829.45	599707	283300	104406	70558.1	225980	4031.98	5524.62	32574.9	1997.14	899.382	1942.49	12785.9		13081.8	1282.06	811.683	6121.24	6106.03	2407.49	18024.5
A2ATU0	A2ATU0	DHTK1_MOUSE	Dhtkd1	2-oxoadipate dehydrogenase complex component E1	17757.5	5840.42										4263.65	2403.03		3275.51	1822.36	2264.51	2210.77	2133.46	2356.18	2288.58	1875.18	1647.46	1816.17	1385.41	1820.55
A2AWP8	A2AWP8	ARGAL_MOUSE	Arhgef10l	Rho guanine nucleotide exchange factor 10-like protein			19075.9									13924.2				748.132	708.406	999.695		1178.8	954.525	987.467			976.865	2046.16
A2BDX3	A2BDX3	MOCS3_MOUSE	Mocs3	Adenylyltransferase and sulfurtransferase MOCS3				1164.44	2576.88							683.827	805.089		1343.3	1011.88	1017.69	1424.72	675.21	1622.11	824.94	1248.56	2337.91	2471.74	825.31	848.186
A2BE28	A2BE28	LAS1L_MOUSE	Las1l	Ribosomal biogenesis protein LAS1L				3291.27		2422.7						1463.22	2058.2	6968.38	459.171	403.546	1669.99		880.449	1344.15	740.153	1221.54			883.433	1058.43
A2BH40	A2BH40	ARI1A_MOUSE	Arid1a	AT-rich interactive domain-containing protein 1A				2171.05	3734.45	5232.58									413.87					523.636					1074.21	1299.9
A2RSQ0	A2RSQ0	DEN5B_MOUSE	Dennd5b	DENN domain-containing protein 5B															643.767	214.618		405.126	1229.44		419.741				407.667	
A2RSY6	A2RSY6	TRM1L_MOUSE	Trmt1l	TRMT1-like protein						2017.95							941.334												764.004	
A2RTL5	A2RTL5	RSRC2_MOUSE	Rsrc2	Arginine/serine-rich coiled-coil protein 2					4615.02	1544.55							513.354						454.908	453.804		189.772			748.8	413.018
A3KGB4	A3KGB4	TBC8B_MOUSE	Tbc1d8b	TBC1 domain family member 8B	1413.12	1874.92											1047.08		964.255	1217.52	1253.51	1308.09	687.629	1929.57	939.009	1154.04		1308.68	1234.31	1595.67
A3KMP2	A3KMP2	TTC38_MOUSE	Ttc38	Tetratricopeptide repeat protein 38	22155.5	17027.5		22862.6	20526.9	20881.5						17450.2	21505.4	11809.8	19415.4	18480.6	16954.7	23986.9	18625.4	22958.9	17738.2	16122.3	18584.9	19322.6	19830.3	19276.5
A6BLY7	A6BLY7	K1C28_MOUSE	Krt28	Keratin, type I cytoskeletal 28	5153.65	3002.1						89627.4	46358								1084.12	532.877								
A6H611	A6H611	MIPEP_MOUSE	Mipep	Mitochondrial intermediate peptidase						2583.34							1975.46		1781.02	1571.94	1981.31	2633.83	1715.11	2252.9	1876.11	2310.31	3274.2		2114.22	1776.74
A6H619	A6H619	PHRF1_MOUSE	Phrf1	PHD and RING finger domain-containing protein 1				2578.14		4134.37						4310.56	6484.64	3825.12	5682.03	6484.58	6019.29	5196.92	6431.97	4623.5	6471.9		4069.86	6473.6	6122.71	6346.9
A6H630	A6H630	ARMT1_MOUSE	Armt1	Damage-control phosphatase ARMT1			1711.83												347.203	558.504		403.704			350.098			343.59	280.425	663.688
A6H6A9	A6H6A9	RBG1L_MOUSE	Rabgap1l	Rab GTPase-activating protein 1-like													214.585		368.731											484.281
A6H6E9	A6H6E9	TT23L_MOUSE	Ttc23l	Tetratricopeptide repeat protein 23-like				2068.77		2712.5						956.567	650.098		1000.7	872.233	952.896	1164.91	1119.84	1631.82	1219.87	353.024		1378.63	2094.19	1283.09
A6X919	A6X919	D19L1_MOUSE	Dpy19l1	Protein C-mannosyl-transferase DPY19L1		566.381		705.047		1600.9							1381.73		1775.37	1249.31	1106.27	1422.47	1247.82	1951.52	675.718	911.079		608.306	1584	1389.01
A6X935	A6X935	ITIH4_MOUSE	Itih4	Inter alpha-trypsin inhibitor, heavy chain 4	4096.94												727.896		1443.68	624.715	815.398	606.394	848.054		1172.88	1770.93	1149.09		940.898	862.266
A7MCT6	A7MCT6	EKI2_MOUSE	Etnk2	Ethanolamine kinase 2	1978.47	4339.17		2865.2								4598.46	4075.58		3396.98	3489.69	3150.75	3892.21	3909.38	3860.5	3378.44	3319.26	2698.79	3753.84	3277.83	2992.8
B1AQ75	B1AQ75	KRT36_MOUSE	Krt36	Keratin, type I cuticular Ha6	816.573		12707.1											246409	1657.63					2166.32						
B1AVZ0	B1AVZ0	UPP_MOUSE	Uprt	Uracil phosphoribosyltransferase homolog					1608.13	848.205																			526.058	730.248
B1AY13	B1AY13	UBP24_MOUSE	Usp24	Ubiquitin carboxyl-terminal hydrolase 24	3518.42			644.43									2699.38		1320.97	1112.31	1538.45		880.904	2189.57	2272.62	989.891		1611.73	1682.22	1364.97
B1AZI6	B1AZI6	THOC2_MOUSE	Thoc2	THO complex subunit 2				2980.02	3418.21	6331.4						17744.8	1799.26	1110.25	1172.95	906.159	732.626	1281.48	1150.75	1875.84	1111.74	1284.43	2612.63	1502.23	2268.48	2077.67
B2RQC6	B2RQC6	PYR1_MOUSE	Cad	Multifunctional protein CAD	2430.72	2359.07	3282.05	644.985								2206.57	1904.9	6183.63	1706.88	1979.8	1615.27	2331.88	2348.84	1722.43	1957.5	2285.99	2589.53	2517.3	1949.36	2381.43
B2RRE7	B2RRE7	OTUD4_MOUSE	Otud4	OTU domain-containing protein 4	658.038		3685.23										824.989		240.124	541.111	659.287		912.196	429.331	322.514				685.758	966.194
B2RX12	B2RX12	MRP3_MOUSE	Abcc3	ATP-binding cassette sub-family C member 3															282.435	276.717										
B2RXC1	B2RXC1	TPC11_MOUSE	Trappc11	Trafficking protein particle complex subunit 11			1105.22										611.651		613.451	535.987		280.593	765.952	567.224	427.118	512.524	531.449		294.71	
B2RXS4	B2RXS4	PLXB2_MOUSE	Plxnb2	Plexin-B2	3022.16	2447.8	7217.54												868.201	559.416	1297.68	225.712	982.194	750.62	241.977	871.507		1605.41	463.43	
B2RY56	B2RY56	RBM25_MOUSE	Rbm25	RNA-binding protein 25			15569.2	7917.6	6185.96	6346.27							2217.36	1325.68	1669.04	1195.05	711.447	1803.05	1795.68	2135.37	1672.5	1661.24	2282.3	11013.1	3286.75	3657.55
B5X0G2	P02762;P04938;B5X0G2;A2BIM8	MUP17_MOUSE	Mup17	Major urinary protein 17				2376.04		2330.36						2340.25	3634.17	4982.39	5007.39	5209.85	2870.96	7786.25	1376.29	3645.86	2509.28	1073.73	3049.96	4703.62	5303.54	2655.28
B7ZMP1	B7ZMP1	XPP3_MOUSE	Xpnpep3	Xaa-Pro aminopeptidase 3	11811.7			15720.2								13851.2	21055.4		23265.2	20756.8	26006.9	21692.8	24726.8	16199	17459.4	20445.1	23044.3	17455.2	15031.6	13774.7
B9EJ86	B9EJ86	OSBL8_MOUSE	Osbpl8	Oxysterol-binding protein-related protein 8			11483.4										2117.11	1844.55	1894.87	1039.73	1402.25	1729.81	1489.04	934.176	970.063	969.025		1083.51	1296.05	248.443
C0HKD8;C0HKD9	C0HKD8;C0HKD9	MFA1A_MOUSE;MFA1B_MOUSE	Mfap1a;Mfap1b	Microfibrillar-associated protein 1A				4574.5	18109.5	9496.89							2294.67		589.5	1145.9		1543.5		3151.3	1639.76	1455.3	3955.35		2382.38	3106.88
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7	C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2	H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE	H2ac11;H2ac12;H2ac13;H2ac15;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap	Histone H2A type 1-B		1234.74												59004									1909.38		1840.29	
D3YXK2	D3YXK2	SAFB1_MOUSE	Safb	Scaffold attachment factor B1	2417.45			9975.74	21753.9	10736							4918.47		2938.44	2949.76	3494.19	2860.99	4105.15	4462.98	3723.46	2340.15	6038.71	5020.73	5323.29	6535.46
D3YZG8	D3YZG8	MTD2L_MOUSE	Mthfd2l	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial		1789.17											964.472		387.276					1814.45	899.239	2312.02	1006.01			
E9PV24	E9PV24	FIBA_MOUSE	Fga	Fibrinogen alpha chain	15324.4	6192.94		7385.29	10596.5	9210.66						10537.6	9990.86	9124.43	7215.86	9627.88	8863.59	8855.51	7769.22	8377.08	8761.33	9307.88	11831.4	8566.05	8014.5	10329.1
E9PVA8	E9PVA8	GCN1_MOUSE	Gcn1	Stalled ribosome sensor GCN1	4156.91	6102.05	8049.03	4933.13		5692.71						5808.12	5500.42	24752.3	5421.43	4359.15	4585.5	5309.65	5463.46	5599.17	4607.07	4737.92	5234.37	5794.76	5239.18	6760.21
E9PZJ8	E9PZJ8	ASCC3_MOUSE	Ascc3	Activating signal cointegrator 1 complex subunit 3	1709.83		7424.23			3279.55							1495.59	3589.52	1446.36	1464.36	933.012	1488.77	1232.47	1688.87	1484.27	1895.73	1811.45	2971.88	1394.86	2336.64
E9Q0S6	E9Q0S6	TENS1_MOUSE	Tns1	Tensin-1	1431.11	654.284											1236.15	1428.42	431.405	552.742	654.689			420.084	693.438	1543.67				
E9Q137	E9Q137	TX264_MOUSE	Tex264	Testis-expressed protein 264 homolog	1634.46	881.814											1432.29		1551.54	1134.54	1851.51	1584.16	2415.73	1510.53		1321.03			2746.07	
E9Q3C1	E9Q3C1	C2CD2_MOUSE	C2cd2	C2 domain-containing protein 2	2721.53											2174.06			2336.17	2430.27	2474.6	2933.69	2757	3746.58	1554.21	2303.85		2587.21	1244.24	
E9Q3L2	E9Q3L2	PI4KA_MOUSE	Pi4ka	Phosphatidylinositol 4-kinase alpha	1069.13		1991.94													564.917				1140.27	162.632				186.728	
E9Q414	E9Q414	APOB_MOUSE	Apob	Apolipoprotein B-100	9664.35	6500.28		5565.84	9748.13	6688.1						6628.44	7067.86	5847.95	6246.7	6919.15	5414.92	7379.56	6155.24	6360.09	6936.89	6547.55	7508.57	7512.03	6189.18	7054.75
E9Q4Z2	E9Q4Z2	ACACB_MOUSE	Acacb	Acetyl-CoA carboxylase 2	7240.46	10227.1		5527.55	10265.5	3263.96		448006	72036.6			7769.38	5377.29	3569.36	5235.17	5217.2	4625.06	5408.09	5693.69	6822.45	5428.88	6137.07	4945.4	5828.02	3684.48	4523.86
E9Q555	E9Q555	RN213_MOUSE	Rnf213	E3 ubiquitin-protein ligase RNF213						1639							923.845		1586.46	500.753	794.632	594.454	998.886	1303.63	1001.74	1174.08			807.601	1277.42
E9Q557	E9Q557	DESP_MOUSE	Dsp	Desmoplakin	241894	97233.8	993341	66088.9	96929.7	66462.3	3.41482e+06	3.31482e+06	4.22675e+06	4.15298e+06	5.01703e+06	30045.8	130236	487120	51974.1	17415.3	21548.4	361094	44881	190759	18724	10362.2	91969.8	117456	36200.4	480006
E9Q5C9	E9Q5C9	NOLC1_MOUSE	Nolc1	Nucleolar and coiled-body phosphoprotein 1	3620.03	1169.79		28355.5	18931.5	35419						7136.39	10075.1	2889.69	5745.39	5384.98	2827.51	5594.96	5280.99	9044.01	5545.9	5218.44	9882.72	9173.11	10002.4	8984.58
E9Q5K4	E9Q5K4	CP2CN_MOUSE	Cyp2c23	Cytochrome P450 2C44	14529.3	9881.67		13894.6		9975.06						17844.9	21582.4	17022.5	15348.8	14986.5	13193.5	16158.3	13882.1	12263.1	17241.3	19218.8	11553.7	17779.4	14806.6	18126.2
E9Q5K9	E9Q5K9	YTDC1_MOUSE	Ythdc1	YTH domain-containing protein 1	436.322		4953.55	2135.4	2639.86	1947.41								1970.26	608.221	302.056	171.44	435.075			601.412	358.179	806.631	756.298	875.382	619.991
E9Q634	E9Q634;P70248	MYO1E_MOUSE	Myo1e	Unconventional myosin-Ie	595.891		19901.9										1165.8		844.109	972.768	1416.67	1262.43	867.054	1370.88	1461.01	1408.37	3712.56		2367.37	3614.67
E9Q735	E9Q735	UBE4A_MOUSE	Ube4a	Ubiquitin conjugation factor E4 A		2207.53			2253.91	369.697							1198.47		1040.4	1697.61	2058.15	1907.05	1884.32	2031.14	1584.88	1343.33	2014.6	1652.64	1901.77	1456.29
E9Q7E2	E9Q7E2	ARID2_MOUSE	Arid2	AT-rich interactive domain-containing protein 2						1116.8						1191.53													205.418	292.576
E9Q7G0	E9Q7G0	NUMA1_MOUSE	Numa1	Nuclear mitotic apparatus protein 1	1612.69	3617.64	47831.1	6019.65	9412.59	6052.01							2079.23		1611.05	1400.25	1095.38	1767.63	1732.12	2140.61	1367.87	1200.67	2707.05	1117.88	2564.73	2638.65
E9Q7X7	E9Q7X7	NRX2A_MOUSE	Nrxn2	Neurexin-2	3292.42	5171.88	19679.6				60630.7		31720.4				1926.6		647.188	338.808	1645.13	2407.61	2413.91	1573.97	1657		2060.44	613.95	853.416	3547.69
E9Q876	E9Q876	ABCAC_MOUSE	Abca12	Glucosylceramide transporter ABCA12			15976.6																							419.746
E9QAM5	E9QAM5	HELZ2_MOUSE	Helz2	3'-5' exoribonuclease HELZ2	1061.49	3657.78				847.888							2213.28		1766.89	1235.72	1774.66	1312.46	1243.04	1121.82	1580.39	1270.87	2684	2321.87	1903.4	1731.84
E9QAT4	E9QAT4	SC16A_MOUSE	Sec16a	Protein transport protein Sec16A	3121.39	2085.78	6163.11		6316.69	1155.51						3320.44	2341.27	13858.8	2325.25	1949.83	1816.93	2479.4	3356.96	2600.84	1890.67	2082.37	2208.81	2205.46	2532.22	2266.98
F2Z461	F2Z461	HERC6_MOUSE	Herc6	E3 ISG15--protein ligase Herc6													397.399		1510.62	456.407		691.617							351.407	
F6ZDS4	F6ZDS4	TPR_MOUSE	Tpr	Nucleoprotein TPR	1472.67	3290.68		8786.65	11171.8	10481.4						5171.17	4099.97	6055.44	2634.44	2661.91	1990.86	3217.41	2754.43	4715.88	3014.02	3071.2	5508.47	4067.03	4844.1	5229.25
F8VPK0	F8VPK0	SKI3_MOUSE	Skic3	Superkiller complex protein 3												1013.57	1223.06	6310.22	900.61	900.497	926.581	1076.68	720.601	1010.45	809.816	950.687	1063.41	2505.16	1040.01	949.635
F8VPU2	F8VPU2	FARP1_MOUSE	Farp1	FERM, ARHGEF and pleckstrin domain-containing protein 1	1510.72	523.48													471.731	497.308	954.904		683.982	630.371	504.312	883.284			384.538	
G3X8U3	G3X8U3	QNG1_MOUSE	QNG1	Queuosine 5'-phosphate N-glycosylase/hydrolase	2402.55	1306.18		2326.31		2057.54						3103.44	2126.69	1831.78	1974.64	1489.37	1504.81	1683.65	2283.27	2181.56	2047.55	1562.44	2218.35	2434.95	1877.24	2523.88
G3X982	G3X982	AOXC_MOUSE	Aox3	Aldehyde oxidase 3	17252	22251.3		21302	38272.1	89191.3						44884.4	70636.5	21169.9	32354	31078.1	34781.6	34685.1	33172.9	29236.1	73560.1	77175.5	34479.1	42968.6	33980.9	83961.1
G3X9C2	G3X9C2	FBX50_MOUSE	Nccrp1	F-box only protein 50	64954.3	89084.4	673647	8561.84	25627	16555.9	1.14762e+06	1.50165e+06	1.43855e+06	1.49601e+06	1.14245e+06	18356.2	53812.6	16479.4	11315.6	13279.9	15904.8	66643.7	62009.8	22711.1	14918.4	2857.12	36982.8	27076.4	21076.3	114074
