Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens OX=9606	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	11	11	11	164837.55	164837.55	164837.55			
sp|O75116|ROCK2_HUMAN	O75116	ROCK2_HUMAN	ROCK2	1388	Homo sapiens OX=9606	Rho-associated protein kinase 2 	1:Experimental evidence at protein level	1.0000	0.9982	2	1	2	3	1	3	27083.012	9620.38	27083.012			
sp|O75131|CPNE3_HUMAN	O75131	CPNE3_HUMAN	CPNE3	537	Homo sapiens OX=9606	Copine-3 	1:Experimental evidence at protein level	1.0000	0.9976	2	2	2	3	3	3	48468.234	48468.234	48468.234	6M(15.9949)		
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens OX=9606	Gamma-glutamylcyclotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	39951.86	39951.86	39951.86			
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens OX=9606	Tubulin-specific chaperone A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	17489.703	17489.703	17489.703			
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	Homo sapiens OX=9606	Core histone macro-H2A.1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	14	13	14	452498.34	219211.44	452498.34			
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens OX=9606	Filamin-B 	1:Experimental evidence at protein level	1.0000	0.9990	37	35	35	69	66	66	261956.28	261956.28	261956.28	9M(15.9949),6M(15.9949),6M(15.9949),4M(15.9949),4C(57.0214),11M(15.9949),11M(15.9949),1C(57.0214),11M(15.9949),6C(57.0214),11M(15.9949),10M(15.9949),13M(15.9949)		
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens OX=9606	Citrate synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	12	12	12	318212.03	318212.03	318212.03	7C(57.0214)		
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens OX=9606	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	3	3	3	38619.23	38619.23	38619.23			
sp|O75436|VP26A_HUMAN	O75436	VP26A_HUMAN	VPS26A	327	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 26A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	23777.182	23777.182	23777.182			
sp|O75439|MPPB_HUMAN	O75439	MPPB_HUMAN	PMPCB	489	Homo sapiens OX=9606	Mitochondrial-processing peptidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	4	4	4	60798.758	60798.758	60798.758	3C(57.0214)		
sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	Homo sapiens OX=9606	Splicing factor 3B subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	11	11	11	123106.266	123106.266	123106.266	8M(15.9949)		
sp|O75608|LYPA1_HUMAN	O75608	LYPA1_HUMAN	LYPLA1	230	Homo sapiens OX=9606	Acyl-protein thioesterase 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	90799.6	90799.6	90799.6			
sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	Homo sapiens OX=9606	U5 small nuclear ribonucleoprotein 200 kDa helicase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	11	11	11	84903.09	84903.09	84903.09	4M(15.9949),7M(15.9949)		
sp|O75822|EIF3J_HUMAN	O75822	EIF3J_HUMAN	EIF3J	258	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit J 	1:Experimental evidence at protein level	1.0000	0.9986	1	1	1	1	1	1	21260.86	21260.86	21260.86			
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	Homo sapiens OX=9606	Isocitrate dehydrogenase [NADP] cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	6	32	31	31	533465.0	399435.9	399435.9	10M(15.9949),10M(15.9949), 5M(15.9949),14M(15.9949), 9M(15.9949)		
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	Homo sapiens OX=9606	ATP synthase subunit d, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9978	2	2	2	3	3	3	51956.06	51956.06	51956.06	8M(15.9949)		
sp|O75955|FLOT1_HUMAN	O75955	FLOT1_HUMAN	FLOT1	427	Homo sapiens OX=9606	Flotillin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	62396.695	62396.695	62396.695	11M(15.9949)		
sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens OX=9606	Keratin, type I cuticular Ha6 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	4	24	8	15	3733400.0	68566.33	239178.34	3M(15.9949)		
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	Homo sapiens OX=9606	Ribosomal L1 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	48465.203	48465.203	48465.203			
sp|O76031|CLPX_HUMAN	O76031	CLPX_HUMAN	CLPX	633	Homo sapiens OX=9606	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	7608.166	7608.166	7608.166			
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens OX=9606	Signal recognition particle subunit SRP72 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	35109.86	35109.86	35109.86			
sp|O94760|DDAH1_HUMAN	O94760	DDAH1_HUMAN	DDAH1	285	Homo sapiens OX=9606	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	11	8	11	212373.97	212373.97	212373.97	N-term(42.0106)		
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens OX=9606	Metastasis-associated protein MTA2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	21367.555	21367.555	21367.555			
sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	98678.07	98678.07	98678.07	2M(15.9949)		
sp|O94832|MYO1D_HUMAN	O94832	MYO1D_HUMAN	MYO1D	1006	Homo sapiens OX=9606	Unconventional myosin-Id 	1:Experimental evidence at protein level	1.0000	0.9988	6	5	6	9	7	9	175635.61	175635.61	175635.61			
sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	Homo sapiens OX=9606	E3 UFM1-protein ligase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	34592.523	34592.523	34592.523	4M(15.9949)		
sp|O94905|ERLN2_HUMAN	O94905	ERLN2_HUMAN	ERLIN2	339	Homo sapiens OX=9606	Erlin-2 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	3	0	3	41063.39	0	41063.39			
sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	Homo sapiens OX=9606	Pre-mRNA-processing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	11354.809	11354.809	11354.809			
sp|O94973|AP2A2_HUMAN	O94973	AP2A2_HUMAN	AP2A2	939	Homo sapiens OX=9606	AP-2 complex subunit alpha-2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	22816.111	22816.111	22816.111	2M(15.9949)		
sp|O94979|SC31A_HUMAN	O94979	SC31A_HUMAN	SEC31A	1220	Homo sapiens OX=9606	Protein transport protein Sec31A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	20304.672	20304.672	20304.672			
sp|O95168|NDUB4_HUMAN	O95168	NDUB4_HUMAN	NDUFB4	129	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	3	3	3	40417.598	40417.598	40417.598			
sp|O95197|RTN3_HUMAN	O95197	RTN3_HUMAN	RTN3	1032	Homo sapiens OX=9606	Reticulon-3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	29090.736	29090.736	29090.736			
sp|O95202|LETM1_HUMAN	O95202	LETM1_HUMAN	LETM1	739	Homo sapiens OX=9606	Mitochondrial proton/calcium exchanger protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	42378.83	42378.83	42378.83	12M(15.9949)		
