Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_1_Slot2-34_1_17045.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_2_Slot2-34_1_17047.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_3_Slot2-34_1_17049.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_1_Slot2-35_1_17057.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_2_Slot2-35_1_17059.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_3_Slot2-35_1_17061.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_1_Slot2-36_1_17070.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_2_Slot2-36_1_17072.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_3_Slot2-36_1_17074.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_1_Slot2-34_1_17084.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_2_Slot2-34_1_17086.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_3_Slot2-34_1_17088.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_1_Slot2-37_1_17108.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_2_Slot2-37_1_17114.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_3_Slot2-37_1_17116.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_1_Slot2-33_1_17082.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_2_Slot2-33_1_17090.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_3_Slot2-33_1_17092.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_1_Slot2-35_1_17106.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_2_Slot2-35_1_17110.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_3_Slot2-35_1_17112.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_1_Slot2-34_1_17144.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_2_Slot2-34_1_17145.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_3_Slot2-34_1_17146.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_1_Slot2-36_1_17149.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_2_Slot2-36_1_17157.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_3_Slot2-36_1_17158.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_1_Slot2-33_1_17166.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_2_Slot2-33_1_17167.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_3_Slot2-33_1_17168.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_1_Slot2-35_1_17151.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_2_Slot2-35_1_17176.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_3_Slot2-35_1_17177.d
A2AJL3	A2AJL3		Fggy		28305.6	23141.3	21469.4	21196.4	23812.5	24257.2	20929.1	20587	23175.4	96524.1			14165.9	13380.1	16743.5	23142.9	24502.4	21741.1	20491.8	19720.6	19766.3	20651.6	19659.7	19208.9	23518.7	24186.6	23228.6	21116.4	22417.4	22863.2	25563.2	22766.5	22495.1
A2AKB9	A2AKB9		Dcaf10																												181.98		197.034		565.998	259.286	200.294
A2AKG8	A2AKG8		Focad					1901.34	1431.45	2133.9	1467.89	1859.4	2229.9							2085.47	1821.36	1946.07	1944.87	1944.45	1958.29	2276.33	1850.93	1879.02	2380.48	2109.18	2132.28	2048.95	2464.63	2185.76	4051.93	2283.3	2514.33
A2AKK5	A2AKK5		Acnat1						1965.71	1453.77	7774.71	7915.56	7351.5							7909.64	8059.15	7631.85	12287.4	12864.6	13608.7	759.68	820.23	506.983	16420.8	14255.8	11163.8	9677.94	8674.42	9066.29	8135.56	10244.5	9684.16
A2AKQ0	A2AKQ0		Slc35d1					1933.84	2965.06	2152.54	2236.36	2083.98	2528.03							4427.84	4276.44	5619.8	6095.99	5884.21	5745.76	7142.41	4546.85	4767.76	4421.62	4470.34	3836.53	3598.08	4778.75	5073.51	3815.89	3967.45	5158.96
A2AL36	A2AL36		Cntrl		32275.5	25968.3	33447.9	34033.2	30855.9	33483	44747.8	40380.1	42076.3				11191.3	17291.5	12312.8	18745.4	7007.63	17482.9	9031.69	12455.3	4376.85	14344.5	22145.5	21233.9	12622	12425.6	21330.9	18653.5	30466	30868.8	16802.4	21238.2	31672.3
A2ALK8	A2ALK8		Ptpn3				1701.47	2727.81		1225.59	1801.14	2399.76	2138.36							1879.46	1721.05	1481.89	1916.96	2249.68	2036.68		719.785	2491.23	2307.28	2016.18	2507.76	2083.09	2302.89	2182.83	3214.84	3207.7	3435.34
A2ALU4	A2ALU4		Shroom2																	2129.7		1384.68	1312.1		1751.26	1480.52	2001.46	2194.79	1941.48	1870.21	2198.49	2516.97	2421.53	2196.23	2910.86	2014.87	2435.42
A2ALW5	A2ALW5		Dnajc25								1050.33	1715.04	1449.73	11245.4	8241.03	7160.7	2068.2	2847.08	5134.78	1400.35	1264.71	1045.31	1410.83	1600.04	1326.76		1421.67	1647.08			1784.08	2466.51	2187.34	2295.68	2747.59	1844.23	2679.25
A2AN08	A2AN08		Ubr4		11192.9	10365.8	11491.8	10132.9	10580.6	11551.9	11612.2	11676.5	11938.4	56125.3	40527.1	45526.9	14723.4	16941	19354.8	12612.7	12771.6	12856.7	14060	13681.6	13774.2	13139	13034.1	13002.6	14073.8	14208	13886	14632	14421.2	14534.1	19934.5	16488.8	18119.1
A2APT9	A2APT9		Klhdc7a					1803.06		2302.48	2505.65	2475.69	2468.63							1689.77	2471.59	1777.75	2806.15	2642.06	2749.97	3561.83	3618.55	3722.28	2646.22	2519.14	2401.2	1810.87	1882.91	2447.44			
A2APV2	A2APV2		Fmnl2									787.446												726.36	1109.73				94.9866	115.658	84.0695	299.988					700.27
A2APY7	A2APY7		Ndufaf5						987.018	1295.24	485.643	433.481	963.295							397.135	835.419	741.102	724.03	771.647	662.044	660.139	845.64	885.376	560.878	682.038	685.243	677.031	568.371	689.416	1026.16	1060.49	1642.84
A2AQ07	A2AQ07		Tubb1							1044.22	5694.87	3974.56	5613.07							8189.61	8070.59	6979.93	2761.99	2629.29	2922.1	2941.24			12613.7			3309.68	3376.71	3129.22	9399.4	6389.4	6522.02
A2AQ19	A2AQ19		Rtf1				2596.33													2168.61		1858.68			2467.45	2485.57	3388.47	2772.3					108.969	50.0546			227.905
A2AQ25	A2AQ25		Skt			851.087	1464.7		1041.38	1305.55	996.607	723.967	925.504							1221.49	1100.41	1076.77	1321.9	1282.01	1407.92	1051.18	753.338	924.75	991.002	1392.27	1382.32	986.917	1154.17	964.914	1993.62	1055.96	1209.75
A2AR02	A2AR02		Ppig		1186.25						753.307									1280.94	1325.15	952.191	1383.62	1494.96	1501.11	1143.07		989.978	866.041	1105.46	1178.27	1226.98					
A2ARP1	A2ARP1		Ppip5k1																					4655.06	4253.94	4170.66	5902.53	5828.66			3412.45	2967.04	4265.46	4409.83		1368.71	2480.68
A2AS89	A2AS89		Agmat		74699.4	94574.2	81827.6	84145.3	70536.8	76554.2	59134.1	56645.2	57867.2	247744	222579	234913	33517.7	28159.2	22288.7	59653.3	64619.3	49946	54321.1	52586	53720.7	52462.3	52987.8	45338.3	52681.8	56979.1	51024.5	51805.9	53833.9	35349.6	68204.6	77009.1	72317.7
A2ASQ1	A2ASQ1		Agrn																	1749.89	1397.42	1664.02	1637.81	1777.21	1270.73	1375.08	1395.62	1917.32	1729.86	1840.85	1627.07	2272.62	2077.83	2432.11	3387.12	2640.4	3167.67
A2ASS6	A2ASS6		Ttn		8405.1		11521.8	7875.28	9822.77	9958.89	10452.8	8590.76	9030.38								9915.19	10762	10754.1	11985.1	6774.42	10641.4	11028.3	11335.8	8764.84	7679.5	8667.7	3571.88	9442.34	6532.03	15508.1	13538.9	10944.8
A2ASZ8	A2ASZ8		Slc25a25		5467.93	4600.96	7738.11	4694.61	4038.92	4670.56	4186.34	4487.44	5428.76	34771	29570.1			16954.4		5885.02	5966.12	6434.03	6519.03	6436.34	7360.98	6172.29	5247.7	5061.89	7517.06	6871.81	7553.54	9082.01	8168.52	5479.62	13538.9	11707.6	9507.64
A2ATU0	A2ATU0		Dhtkd1		14469.9	16267.9	21052.2	17665.7	18590.4	22759.3	16201	16671.2	16373.9	68783.9	39435.6	65143.4	26609.9	27499.4	26034.3	14784.9	14182.2	15286.5	14717.7	15459.7	15164.2	13209.4	14702.9	15017.6	18327	19883.5	21877.4	20511.5	16736.7	17080.5	30092.5	27501.1	27395.9
A2AWA9	A2AWA9		Rabgap1				2879.07		1997.93	995.458	1068.4	1757.08	1497.1							1541.01	1160.27	1358.75	1857.02	1730.15	1761.05	1352.32	1078.82	1493.33	2088.29	2121.59	1877.54	2273.03	2265.69	2500.51	2811.13	2835.86	2500.57
A2AWP8	A2AWP8		Arhgef10l		3001.04			2849.64	2668.26	2092.12	1731.09	1772.28	2135.25							2062.81	1410.29	1796.79	1326.01	1592.34	1498.64	1306.7	1656.9		1640.76	1596.48	1527.75	1336.22	1425.08	1270.04	2056.82	1665.45	1508.4
A2BDX3	A2BDX3		Mocs3			9990.18	3539.22	5036.16	8615.16	4487.81	4503.9	4949.4	4677.68		57210.9	49197.4	33889.4	5166	33577.4	5757.61	5870.12	7224.95	6477.99	5572.75	6056.29	3994.73	4873.19	5326.89	7145.19	6331.58	5552.38	6574.79	5953.75	6104.57	5852.89	6369.41	5691.44
A2BE28	A2BE28		Las1l				1096.21	1008.43		673.143	820.575	962.01	1096.1							1492.37	1190.64	1373.02	1014.13	1203.61	1079.9	365.083	467.784	476.121	1474.22		1438.75	926.026	872.376	952.03	2303.82	1847.67	2073.2
A2BH40	A2BH40		Arid1a																	1976.27	1529.77		1088.9	850.751			864.598	967.386	808.391	1182.12	1317.1	1305.49	1273.72	1113.08		1195.06	1367.43
A2BIM8	A2BIM8		Mup18		480253	391689	422675	429909	476874	497732	734386	669496	716106	1.03367e+06	964735	981434	647528	605109	931450	532934	546299	556601	660486	652821	662011	397176	346759	371561	415488	392038	362803	673968	671398	644648	802639	646929	662549
A2CG49	A2CG49		Kalrn								737.981	895.931	939.266							1338.13	799.397	804.711	1548.54	1257.83	1046.02				812.975		728.195	1101.1	955.031	1097.81	2403.48	2012.15	2266.05
A2RSJ4	A2RSJ4		Uhrf1bp1l																				461.306	439.14								738.262	1024.92	835.528	3623.89	2360.64	2169.53
A2RSQ0	A2RSQ0		Dennd5b					3429.16			2101.42	3201.05	2537.48							3362.7	3575.87	3052.81	3075.17	3213.7	3248.13	2752.64	2522.41	2284.27	3512.94	2273.74	2920.39	2490.87	2588.3	2483.75	4212	4182.87	3670.11
A2RSY6	A2RSY6		Trmt1l										859.038									383.785	629.239	546.278	675.14				733.96	644.603	753.501	1008.92	1181.87	1468.21		1570.34	996.767
A3KGB4	A3KGB4		Tbc1d8b		1527.02			1310.26	1717.15	1546.36	2239.47	1573.25	1607.09							2134.74	2256.45	2179.57	2373.51	2672.69	2490.39	2185.55	2144.35	2300.93	2839.41	2804.39	2884.28	2417.24	2209.73	2565.22	4442.45	3809.25	4203.8
A3KGS3	A3KGS3		Ralgapa2								1711.95		1095.56							1788.37	1224.55	1166.83	1378.57	1780.06	1421.63	593.989		723.185	1390.89	1125.61	1348.82	1646.09	1533.51	1501.53	3266.64	1919.89	2003.61
A3KMP2	A3KMP2		Ttc38		73348	81878.4	78949.3	85584.8	76754.1	79965.2	92117.5	93047.9	95498.3	287324	297187	300257	63144.6	164173	65890.1	81928.3	88680	83617.7	86041.8	83050.1	83758.7	97732.6	104877	102021	50550.3	46481.9	50288.9	75041	76259.7	78982.7	56941.8	64885.5	52297.5
A6H584	A6H584		Col6a5								9144.13	11371.1	9794.49										97.6895		355.82							331.701	375.198	412.273	974.446	908.223	755.966
A6H5Y3	A6H5Y3		Mtr			1506.65	10081	4790.13	2827.39	6994.42	2923.9	4129.14	3369.97			13360.2	7192.95		8015.95	3237.69	2513.02	2360.77	3972.29	2958.06	3692.82	3526.88	3720.54	3909.64	4345.7	3934.64	3942.06	4234.58	4205.45	4209.04	6100.26	5401.48	5191.68
A6H5Z3	A6H5Z3		Exoc6b						986.246			806.886							3744.14			1039.88	942.701	1195.2	1303.84	1084.64	1065.56	1090.18									1176.94
