Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	InGel_1500um_1 Spectral Count	InGel_1500um_2 Spectral Count	InGel_1500um_3 Spectral Count	InGel_1mm_1 Spectral Count	InGel_1mm_2 Spectral Count	InGel_1mm_3 Spectral Count	InGel_2mm_1 Spectral Count	InGel_2mm_2 Spectral Count	InGel_2mm_3 Spectral Count	InGel_3mm_1 Spectral Count	InGel_3mm_2 Spectral Count	InGel_3mm_3 Spectral Count	InTip_1500um_1 Spectral Count	InTip_1500um_2 Spectral Count	InTip_1500um_3 Spectral Count	InTip_1mm_1 Spectral Count	InTip_1mm_2 Spectral Count	InTip_1mm_3 Spectral Count	InTip_2mm_1 Spectral Count	InTip_2mm_2 Spectral Count	InTip_2mm_3 Spectral Count	InTip_350um_1 Spectral Count	InTip_350um_2 Spectral Count	InTip_350um_3 Spectral Count	InTip_3mm_1 Spectral Count	InTip_3mm_2 Spectral Count	InTip_3mm_3 Spectral Count	InTip_500um_1 Spectral Count	InTip_500um_2 Spectral Count	InTip_500um_3 Spectral Count	InTip_750um_1 Spectral Count	InTip_750um_2 Spectral Count	InTip_750um_3 Spectral Count	InGel_1500um_1 Unique Spectral Count	InGel_1500um_2 Unique Spectral Count	InGel_1500um_3 Unique Spectral Count	InGel_1mm_1 Unique Spectral Count	InGel_1mm_2 Unique Spectral Count	InGel_1mm_3 Unique Spectral Count	InGel_2mm_1 Unique Spectral Count	InGel_2mm_2 Unique Spectral Count	InGel_2mm_3 Unique Spectral Count	InGel_3mm_1 Unique Spectral Count	InGel_3mm_2 Unique Spectral Count	InGel_3mm_3 Unique Spectral Count	InTip_1500um_1 Unique Spectral Count	InTip_1500um_2 Unique Spectral Count	InTip_1500um_3 Unique Spectral Count	InTip_1mm_1 Unique Spectral Count	InTip_1mm_2 Unique Spectral Count	InTip_1mm_3 Unique Spectral Count	InTip_2mm_1 Unique Spectral Count	InTip_2mm_2 Unique Spectral Count	InTip_2mm_3 Unique Spectral Count	InTip_350um_1 Unique Spectral Count	InTip_350um_2 Unique Spectral Count	InTip_350um_3 Unique Spectral Count	InTip_3mm_1 Unique Spectral Count	InTip_3mm_2 Unique Spectral Count	InTip_3mm_3 Unique Spectral Count	InTip_500um_1 Unique Spectral Count	InTip_500um_2 Unique Spectral Count	InTip_500um_3 Unique Spectral Count	InTip_750um_1 Unique Spectral Count	InTip_750um_2 Unique Spectral Count	InTip_750um_3 Unique Spectral Count	InGel_1500um_1 Total Spectral Count	InGel_1500um_2 Total Spectral Count	InGel_1500um_3 Total Spectral Count	InGel_1mm_1 Total Spectral Count	InGel_1mm_2 Total Spectral Count	InGel_1mm_3 Total Spectral Count	InGel_2mm_1 Total Spectral Count	InGel_2mm_2 Total Spectral Count	InGel_2mm_3 Total Spectral Count	InGel_3mm_1 Total Spectral Count	InGel_3mm_2 Total Spectral Count	InGel_3mm_3 Total Spectral Count	InTip_1500um_1 Total Spectral Count	InTip_1500um_2 Total Spectral Count	InTip_1500um_3 Total Spectral Count	InTip_1mm_1 Total Spectral Count	InTip_1mm_2 Total Spectral Count	InTip_1mm_3 Total Spectral Count	InTip_2mm_1 Total Spectral Count	InTip_2mm_2 Total Spectral Count	InTip_2mm_3 Total Spectral Count	InTip_350um_1 Total Spectral Count	InTip_350um_2 Total Spectral Count	InTip_350um_3 Total Spectral Count	InTip_3mm_1 Total Spectral Count	InTip_3mm_2 Total Spectral Count	InTip_3mm_3 Total Spectral Count	InTip_500um_1 Total Spectral Count	InTip_500um_2 Total Spectral Count	InTip_500um_3 Total Spectral Count	InTip_750um_1 Total Spectral Count	InTip_750um_2 Total Spectral Count	InTip_750um_3 Total Spectral Count	InGel_1500um_1 Intensity	InGel_1500um_2 Intensity	InGel_1500um_3 Intensity	InGel_1mm_1 Intensity	InGel_1mm_2 Intensity	InGel_1mm_3 Intensity	InGel_2mm_1 Intensity	InGel_2mm_2 Intensity	InGel_2mm_3 Intensity	InGel_3mm_1 Intensity	InGel_3mm_2 Intensity	InGel_3mm_3 Intensity	InTip_1500um_1 Intensity	InTip_1500um_2 Intensity	InTip_1500um_3 Intensity	InTip_1mm_1 Intensity	InTip_1mm_2 Intensity	InTip_1mm_3 Intensity	InTip_2mm_1 Intensity	InTip_2mm_2 Intensity	InTip_2mm_3 Intensity	InTip_350um_1 Intensity	InTip_350um_2 Intensity	InTip_350um_3 Intensity	InTip_3mm_1 Intensity	InTip_3mm_2 Intensity	InTip_3mm_3 Intensity	InTip_500um_1 Intensity	InTip_500um_2 Intensity	InTip_500um_3 Intensity	InTip_750um_1 Intensity	InTip_750um_2 Intensity	InTip_750um_3 Intensity	InGel_1500um_1 MaxLFQ Intensity	InGel_1500um_2 MaxLFQ Intensity	InGel_1500um_3 MaxLFQ Intensity	InGel_1mm_1 MaxLFQ Intensity	InGel_1mm_2 MaxLFQ Intensity	InGel_1mm_3 MaxLFQ Intensity	InGel_2mm_1 MaxLFQ Intensity	InGel_2mm_2 MaxLFQ Intensity	InGel_2mm_3 MaxLFQ Intensity	InGel_3mm_1 MaxLFQ Intensity	InGel_3mm_2 MaxLFQ Intensity	InGel_3mm_3 MaxLFQ Intensity	InTip_1500um_1 MaxLFQ Intensity	InTip_1500um_2 MaxLFQ Intensity	InTip_1500um_3 MaxLFQ Intensity	InTip_1mm_1 MaxLFQ Intensity	InTip_1mm_2 MaxLFQ Intensity	InTip_1mm_3 MaxLFQ Intensity	InTip_2mm_1 MaxLFQ Intensity	InTip_2mm_2 MaxLFQ Intensity	InTip_2mm_3 MaxLFQ Intensity	InTip_350um_1 MaxLFQ Intensity	InTip_350um_2 MaxLFQ Intensity	InTip_350um_3 MaxLFQ Intensity	InTip_3mm_1 MaxLFQ Intensity	InTip_3mm_2 MaxLFQ Intensity	InTip_3mm_3 MaxLFQ Intensity	InTip_500um_1 MaxLFQ Intensity	InTip_500um_2 MaxLFQ Intensity	InTip_500um_3 MaxLFQ Intensity	InTip_750um_1 MaxLFQ Intensity	InTip_750um_2 MaxLFQ Intensity	InTip_750um_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P29699|FETUA_MOUSE	P29699	FETUA_MOUSE	Ahsg	345	Mus musculus OX=10090	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	14	176	176	176	0	1	3	0	0	0	8	7	6	11	8	4	8	15	10	4	4	3	17	9	9	0	0	0	9	5	12	3	7	1	6	1	5	0	1	3	0	0	0	8	7	6	11	8	4	8	15	10	4	4	3	17	9	9	0	0	0	9	5	12	3	7	1	6	1	5	0	1	3	0	0	0	8	7	6	11	8	4	8	15	10	4	4	3	17	9	9	0	0	0	9	5	12	3	7	1	6	1	5	0.0	104442.12	90873.42	0.0	0.0	0.0	117062.21	138849.16	143186.22	343288.75	345968.3	357022.0	217048.31	211724.62	211619.55	170965.6	158585.66	200991.97	318387.0	319964.72	300436.12	0.0	0.0	0.0	343877.56	319506.25	361904.12	115596.914	125404.71	70303.445	112197.19	92725.234	99626.805	0.0	0.0	0.0	0.0	0.0	0.0	131163.14	150542.98	144695.02	166037.39	169195.9	190175.78	120855.3	119392.1	130404.95	91517.13	110079.05	111962.23	176879.02	163022.9	166611.48	0.0	0.0	0.0	203197.55	178247.47	187009.31	0.0	0.0	0.0	144322.45	0.0	121347.03	
sp|P29758|OAT_MOUSE	P29758	OAT_MOUSE	Oat	439	Mus musculus OX=10090	1:Experimental evidence at protein level	Ornithine aminotransferase, mitochondrial	1.0	0.999	48	1561	1561	1561	4	4	2	5	7	4	61	61	55	68	73	76	80	95	107	54	57	51	95	97	82	0	0	0	59	58	57	14	11	8	76	65	75	4	4	2	5	7	4	61	61	55	68	73	76	80	95	107	54	57	51	95	97	82	0	0	0	59	58	57	14	11	8	76	65	75	4	4	2	5	7	4	61	61	55	68	73	76	80	95	107	54	57	51	95	97	82	0	0	0	59	58	57	14	11	8	76	65	75	116491.94	115623.06	125437.44	146749.95	166449.9	134491.33	900800.3	872036.94	865267.75	1368207.2	1463112.0	1516137.8	1281293.2	1333088.8	1284687.6	1160536.6	1154901.5	1054403.4	1637188.8	1675504.6	1612106.2	0.0	0.0	0.0	1182015.1	1197704.1	1199240.4	442347.75	477745.12	495761.7	3148640.5	3058604.2	3171488.0	145411.64	148637.61	160081.5	200446.88	231338.36	174440.34	532478.0	523729.25	514647.4	623959.4	597690.5	573072.4	606907.8	559166.9	617674.56	503762.38	479109.56	466950.3	682012.1	675184.75	668478.75	0.0	0.0	0.0	553135.25	555706.25	543533.8	215781.23	236738.3	210785.97	1089901.2	1111509.5	1064082.1	
sp|P29788|VTNC_MOUSE	P29788	VTNC_MOUSE	Vtn	478	Mus musculus OX=10090	1:Experimental evidence at protein level	Vitronectin	1.0	0.999	7	81	81	81	0	0	0	0	0	0	2	2	6	4	4	4	9	7	8	3	1	1	3	7	6	0	0	0	4	4	5	0	0	0	0	1	0	0	0	0	0	0	0	2	2	6	4	4	4	9	7	8	3	1	1	3	7	6	0	0	0	4	4	5	0	0	0	0	1	0	0	0	0	0	0	0	2	2	6	4	4	4	9	7	8	3	1	1	3	7	6	0	0	0	4	4	5	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	50986.008	48338.137	90235.34	125339.97	133611.03	140390.92	127695.664	121299.78	138395.56	122616.75	43048.07	55954.914	91029.7	91089.05	86154.19	0.0	0.0	0.0	74047.516	53045.34	47727.543	0.0	0.0	0.0	0.0	33432.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70991.64	103150.59	102373.79	103001.31	94090.2	91423.48	103639.71	95432.34	0.0	0.0	72386.66	70880.21	69876.98	0.0	0.0	0.0	74224.625	96933.44	86393.58	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30115|GSTA3_MOUSE	P30115	GSTA3_MOUSE	Gsta3	221	Mus musculus OX=10090	1:Experimental evidence at protein level	Glutathione S-transferase A3	1.0	0.999	62	4786	3956	4786	30	25	20	5	6	5	171	188	180	195	193	193	259	230	235	210	195	161	270	273	283	33	34	37	237	245	245	53	83	67	150	130	145	18	12	9	3	3	2	150	162	155	173	178	177	231	202	209	184	168	131	200	205	205	24	24	28	197	197	189	42	65	46	131	110	126	30	25	20	5	6	5	171	188	180	195	193	193	259	230	235	210	195	161	270	273	283	33	34	37	237	245	245	53	83	67	150	130	145	8801863.0	9479019.0	1.0136936E7	4428665.5	3696264.2	4986547.0	1.2158316E7	1.1126565E7	1.1061692E7	5637539.5	5376434.5	5314685.5	1.2032412E7	1.2355406E7	1.2788318E7	1.3554028E7	1.4060143E7	1.6728718E7	6886076.0	6733028.5	6482868.5	1.2187902E7	1.2629935E7	1.2133534E7	4560473.0	5824563.0	4791629.5	1.4123806E7	1.397058E7	1.3511609E7	1.5318831E7	1.53468E7	1.5241954E7	2556492.8	4041197.0	4772894.0	1.2784608E7	7410212.5	1903849.6	7277443.0	7248910.0	7292002.5	6428764.0	6961544.0	6735103.5	7813141.5	8165554.0	8253209.0	8340847.0	8654826.0	9147543.0	6500097.0	6509978.5	6411015.5	6902427.0	7068242.0	6809959.0	7993185.0	5618727.0	5136066.5	7583177.0	7402245.0	7069304.5	7876072.0	7680571.0	7964693.5	
sp|P30204|MSRE_MOUSE	P30204	MSRE_MOUSE	Msr1	458	Mus musculus OX=10090	1:Experimental evidence at protein level	Macrophage scavenger receptor types I and II	1.0	0.999	3	17	17	17	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0	5	2	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37544.766	31702.703	51345.96	0.0	0.0	0.0	73526.78	68688.82	65586.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29288.549	0.0	0.0	0.0	44834.543	41527.152	40091.246	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30416|FKBP4_MOUSE	P30416	FKBP4_MOUSE	Fkbp4	458	Mus musculus OX=10090	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP4	1.0	0.999	38	772	772	772	10	12	10	6	6	15	37	38	27	42	36	34	32	27	27	17	16	16	50	43	48	4	6	1	38	39	36	10	7	4	29	25	24	10	12	10	6	6	15	37	38	27	42	36	34	32	27	27	17	16	16	50	43	48	4	6	1	38	39	36	10	7	4	29	25	24	10	12	10	6	6	15	37	38	27	42	36	34	32	27	27	17	16	16	50	43	48	4	6	1	38	39	36	10	7	4	29	25	24	727063.6	661164.3	646325.75	660442.25	619857.56	619791.75	584214.7	814151.5	775067.4	728552.6	948430.3	905960.44	794282.0	823427.0	821425.06	625443.1	716753.4	713980.6	965488.3	1021473.0	1008130.25	239701.52	226856.81	185483.97	682558.56	671473.56	790678.56	388373.9	313490.38	365949.0	722593.5	697127.0	688816.3	568516.56	493826.9	469620.0	472682.56	410603.3	386779.2	388160.62	402205.3	364106.66	393266.9	424274.5	377169.94	370507.8	383939.25	364285.25	339669.25	373403.06	375543.78	425250.84	456477.03	448895.38	0.0	276801.9	0.0	457902.16	409369.56	394374.88	395656.3	321657.44	248596.03	392852.78	413829.62	400761.34	
sp|P30681|HMGB2_MOUSE	P30681	HMGB2_MOUSE	Hmgb2	210	Mus musculus OX=10090	1:Experimental evidence at protein level	High mobility group protein B2	1.0	0.999	5	7	7	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113499.03	0.0	166875.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30999|CTND1_MOUSE	P30999	CTND1_MOUSE	Ctnnd1	938	Mus musculus OX=10090	1:Experimental evidence at protein level	Catenin delta-1	1.0	0.999	23	434	434	434	1	2	1	1	2	2	12	14	13	27	21	31	13	12	24	12	11	14	32	30	38	0	0	0	24	30	22	3	6	6	8	11	11	1	2	1	1	2	2	12	14	13	27	21	31	13	12	24	12	11	14	32	30	38	0	0	0	24	30	22	3	6	6	8	11	11	1	2	1	1	2	2	12	14	13	27	21	31	13	12	24	12	11	14	32	30	38	0	0	0	24	30	22	3	6	6	8	11	11	0.0	191665.33	95752.03	399068.44	281148.9	160231.78	63360.24	1026256.5	176037.6	387686.94	717779.44	351939.38	395457.44	881555.9	436307.34	467511.0	427131.5	431684.38	1588296.5	146203.5	151793.33	0.0	0.0	0.0	151295.83	190479.33	230842.38	115814.52	129410.65	1726027.6	1152524.4	1291963.4	851978.94	0.0	0.0	0.0	0.0	0.0	0.0	276679.97	295820.9	235884.17	261495.34	280325.62	259141.6	335434.84	367049.66	342464.25	352064.1	327269.47	348068.16	292506.75	258011.1	275499.94	0.0	0.0	0.0	265917.0	211070.45	250173.62	0.0	0.0	442931.06	296529.66	338255.66	317546.62	
sp|P31001|DESM_MOUSE	P31001	DESM_MOUSE	Des	469	Mus musculus OX=10090	1:Experimental evidence at protein level	Desmin	1.0	0.999	17	83	83	213	1	1	0	0	0	0	1	1	1	10	9	10	5	5	3	3	2	0	9	6	4	0	0	0	4	4	4	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	10	9	10	5	5	3	3	2	0	9	6	4	0	0	0	4	4	4	0	0	0	0	0	0	1	2	0	0	0	0	7	8	9	19	19	18	15	17	15	6	7	0	18	15	10	0	0	0	8	9	10	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193937.31	170957.62	188594.12	168050.6	186615.2	164862.17	116738.01	127939.55	0.0	238076.12	235204.27	215448.81	0.0	0.0	0.0	219884.89	232087.81	230081.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95299.95	90511.57	91890.1	80566.445	93177.164	75510.69	86053.37	93302.68	0.0	104539.58	102494.06	94216.586	0.0	0.0	0.0	133563.6	132020.83	133478.7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31230|AIMP1_MOUSE	P31230	AIMP1_MOUSE	Aimp1	310	Mus musculus OX=10090	1:Experimental evidence at protein level	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	1.0	0.999	10	206	206	206	0	0	0	0	0	0	9	14	10	14	11	11	9	8	8	8	6	4	15	12	14	1	1	1	8	10	10	3	1	2	5	6	5	0	0	0	0	0	0	9	14	10	14	11	11	9	8	8	8	6	4	15	12	14	1	1	1	8	10	10	3	1	2	5	6	5	0	0	0	0	0	0	9	14	10	14	11	11	9	8	8	8	6	4	15	12	14	1	1	1	8	10	10	3	1	2	5	6	5	0.0	0.0	0.0	0.0	0.0	0.0	88662.81	56950.117	81033.79	250179.84	231156.25	235871.69	343310.66	343553.0	311380.06	226228.62	342227.25	298133.16	230670.64	123981.46	191004.47	135097.42	127409.69	121930.53	0.0	49145.77	49344.375	189550.53	126619.625	221523.38	272377.3	192127.9	296791.12	0.0	0.0	0.0	0.0	0.0	0.0	75839.89	100440.88	79863.94	145174.33	134932.73	135910.33	117649.836	119311.43	108061.164	125373.06	143080.94	124726.44	119097.77	126706.68	103228.734	0.0	0.0	0.0	134920.38	94769.195	98983.95	107394.57	0.0	143784.17	112985.24	127193.4	121440.27	
sp|P31649|S6A13_MOUSE	P31649	S6A13_MOUSE	Slc6a13	602	Mus musculus OX=10090	1:Experimental evidence at protein level	Sodium- and chloride-dependent GABA transporter 2	0.9624	0.999	2	16	16	16	0	0	0	0	0	0	2	1	0	1	1	2	0	0	0	0	0	0	2	3	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	0	0	0	0	0	0	2	3	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	0	0	0	0	0	0	2	3	1	0	0	0	0	1	1	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	62460.652	63800.043	0.0	78326.51	79172.99	75189.375	0.0	0.0	0.0	0.0	0.0	0.0	70163.86	77029.62	87472.13	0.0	0.0	0.0	0.0	63542.8	65398.004	41482.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31651|S6A12_MOUSE	P31651	S6A12_MOUSE	Slc6a12	614	Mus musculus OX=10090	2:Experimental evidence at transcript level	Sodium- and chloride-dependent betaine transporter	0.9624	0.999	2	40	40	40	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	3	3	3	1	1	1	0	0	0	1	2	2	0	2	0	6	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	3	3	3	1	1	1	0	0	0	1	2	2	0	2	0	6	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	3	3	3	1	1	1	0	0	0	1	2	2	0	2	0	6	2	2	0.0	0.0	0.0	0.0	0.0	0.0	135732.12	132877.11	135013.66	140534.6	136428.02	139304.06	132744.02	132940.48	124571.02	152426.0	151291.45	147547.8	112093.82	104616.945	115685.836	0.0	0.0	0.0	52812.957	52676.5	59317.043	0.0	130185.01	0.0	140916.95	143322.8	134469.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31725|S10A9_MOUSE	P31725	S10A9_MOUSE	S100a9	113	Mus musculus OX=10090	1:Experimental evidence at protein level	Protein S100-A9	1.0	0.999	4	78	78	78	0	0	0	0	0	0	0	1	0	3	4	3	3	2	4	3	5	3	5	4	4	0	0	0	4	5	4	0	0	2	10	4	5	0	0	0	0	0	0	0	1	0	3	4	3	3	2	4	3	5	3	5	4	4	0	0	0	4	5	4	0	0	2	10	4	5	0	0	0	0	0	0	0	1	0	3	4	3	3	2	4	3	5	3	5	4	4	0	0	0	4	5	4	0	0	2	10	4	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181801.45	176785.47	166962.25	370277.0	343583.16	401266.97	335792.75	295320.66	339054.3	306569.25	287517.94	320335.03	0.0	0.0	0.0	209199.22	215470.4	220345.78	0.0	0.0	107069.43	170842.12	184928.78	236041.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116084.91	117240.5	110607.91	252148.33	233347.25	269251.7	233108.62	202283.81	236267.67	205643.27	191140.95	218279.95	0.0	0.0	0.0	144334.03	146723.12	149145.03	0.0	0.0	0.0	117234.52	126931.3	161726.56	
sp|P31750|AKT1_MOUSE	P31750	AKT1_MOUSE	Akt1	480	Mus musculus OX=10090	1:Experimental evidence at protein level	RAC-alpha serine/threonine-protein kinase	0.8475	0.9972	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79056.555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36868.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31786|ACBP_MOUSE	P31786	ACBP_MOUSE	Dbi	87	Mus musculus OX=10090	1:Experimental evidence at protein level	Acyl-CoA-binding protein	1.0	0.999	23	1343	1343	1343	0	1	2	0	0	0	47	51	55	80	75	75	68	69	71	51	51	43	64	67	69	14	16	19	67	66	62	19	19	23	34	32	33	0	1	2	0	0	0	47	51	55	80	75	75	68	69	71	51	51	43	64	67	69	14	16	19	67	66	62	19	19	23	34	32	33	0	1	2	0	0	0	47	51	55	80	75	75	68	69	71	51	51	43	64	67	69	14	16	19	67	66	62	19	19	23	34	32	33	0.0	65587.38	121664.75	0.0	0.0	0.0	4928747.0	5046108.0	4886735.0	5060357.5	4972883.5	5034947.0	4536223.0	4540300.5	4696401.0	4633848.5	4656565.0	4830573.0	3518819.2	3450011.0	3451197.0	3510031.5	3617035.2	3568168.5	2816941.5	3031092.5	3037659.0	3100356.8	3118342.5	3047160.0	2449184.2	2507863.0	2474693.5	0.0	0.0	0.0	0.0	0.0	0.0	3174679.5	3207398.5	3100969.2	3209171.2	3142761.5	3227174.2	3362094.5	3387880.5	3479095.2	3118657.5	3183839.8	3418672.8	2667043.0	2758792.8	2783501.8	2537088.2	2476749.0	2623912.5	2640460.0	2806544.0	2909294.0	2241387.8	2267241.5	2098122.5	2005542.9	2065469.5	1940026.5	
sp|P31809|CEAM1_MOUSE	P31809	CEAM1_MOUSE	Ceacam1	521	Mus musculus OX=10090	1:Experimental evidence at protein level	Carcinoembryonic antigen-related cell adhesion molecule 1	1.0	0.999	5	161	148	161	0	0	0	0	0	0	7	8	12	7	9	9	6	8	6	5	3	3	8	9	8	0	2	2	10	10	13	4	2	3	2	2	3	0	0	0	0	0	0	6	7	12	7	9	8	6	7	4	3	3	3	8	8	7	0	2	2	9	9	12	4	2	3	2	2	3	0	0	0	0	0	0	7	8	12	7	9	9	6	8	6	5	3	3	8	9	8	0	2	2	10	10	13	4	2	3	2	2	3	0.0	0.0	0.0	0.0	0.0	0.0	215695.27	226680.39	191717.7	229524.31	223069.31	208921.81	233892.48	226752.56	224360.97	174410.31	168867.97	168483.53	348470.6	355352.0	332169.16	0.0	189876.02	209645.25	400574.72	454163.4	396233.8	214994.88	236249.81	242572.69	213674.3	237770.67	227379.03	0.0	0.0	0.0	0.0	0.0	0.0	161531.86	240032.61	189383.98	229524.31	223069.31	0.0	244527.11	268605.53	270073.97	199368.66	0.0	0.0	0.0	342329.97	330521.78	0.0	0.0	0.0	368892.97	407669.72	374595.78	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31938|MP2K1_MOUSE	P31938	MP2K1_MOUSE	Map2k1	393	Mus musculus OX=10090	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 1	1.0	0.999	13	66	66	128	0	0	0	0	0	0	6	4	5	3	6	4	2	2	4	0	1	1	2	5	4	0	0	0	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	3	6	4	2	2	4	0	1	1	2	5	4	0	0	0	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	8	6	7	10	12	12	3	3	5	0	2	4	5	9	10	0	0	0	13	11	8	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	37007.844	64592.1	59077.746	31009.826	57081.926	61906.844	0.0	0.0	0.0	0.0	0.0	0.0	37756.742	44984.926	39972.703	0.0	0.0	0.0	58850.52	37152.566	34602.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40113.51	64335.137	63570.63	37904.105	56829.426	61484.14	0.0	0.0	100584.92	0.0	0.0	0.0	41609.05	41897.19	49458.59	0.0	0.0	0.0	64658.19	48163.17	41420.6	0.0	0.0	0.0	0.0	0.0	0.0	
