Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	26	23	26	693325.2	679986.3	693325.2	4C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	113363.44	113363.44	113363.44	7M(15.9949),2M(15.9949), 5M(15.9949)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	7307.97	7307.97	7307.97	13C(57.0214), 7M(15.9949)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	33782.36	33782.36	33782.36	10M(15.9949)		
sp|O00515|LAD1_HUMAN	O00515	LAD1_HUMAN	LAD1	517	Homo sapiens OX=9606	Ladinin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	152681.34	152681.34	152681.34	6M(15.9949)		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	12	12	12	64823.465	64823.465	64823.465	6M(15.9949),4M(15.9949), 8M(15.9949)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9987	1	1	1	1	1	1	12239.737	12239.737	12239.737			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	200597.75	200597.75	200597.75	9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	9	2	7	21	3	9	103376.06	32946.51	92546.45	3M(15.9949), 4M(15.9949)		
sp|O00748|EST2_HUMAN	O00748	EST2_HUMAN	CES2	559	Homo sapiens OX=9606	Cocaine esterase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	156268.98	156268.98	156268.98			
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	3	3	3	23674.865	23674.865	23674.865			
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	18286.674	18286.674	18286.674	1M(15.9949)		
sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	144	Homo sapiens OX=9606	Eukaryotic translation initiation factor 1A, Y-chromosomal 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	25357.463	0	25357.463			sp|P47813|IF1AX_HUMAN
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	16119.407	16119.407	16119.407	1M(15.9949)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9986	1	1	1	1	1	1	15454.876	15454.876	15454.876			
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	33006.86	33006.86	33006.86	3M(15.9949), N-term(42.0106)		
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	7	6	7	172042.75	140953.03	172042.75			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	13	0	13	236487.2	0	236487.2	5M(15.9949),6M(15.9949)		sp|P19105|ML12A_HUMAN
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	27830.576	27830.576	27830.576			
sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	1311	Homo sapiens OX=9606	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9966	2	2	2	2	2	2	55176.188	55176.188	55176.188	2M(15.9949)		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	12	12	12	159202.66	159202.66	159202.66	1M(15.9949),2M(15.9949)		
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	Homo sapiens OX=9606	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9979	2	2	2	2	2	2	28637.516	28637.516	28637.516			
sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	329	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	111837.016	111837.016	111837.016			
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	91157.11	91157.11	91157.11			
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	15	15	15	177000.53	177000.53	177000.53	9M(15.9949),1M(15.9949),3M(15.9949)		
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	269	Homo sapiens OX=9606	Surfeit locus protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	361323.66	361323.66	361323.66	2M(15.9949), 9M(15.9949)		
sp|O15264|MK13_HUMAN	O15264	MK13_HUMAN	MAPK13	365	Homo sapiens OX=9606	Mitogen-activated protein kinase 13 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	179774.56	179774.56	179774.56	6M(15.9949)		
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	38664.203	38664.203	38664.203	2M(15.9949),3M(15.9949)		
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9984	1	1	1	2	2	2	23977.928	23977.928	23977.928			
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit H 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	29120.6	29120.6	29120.6			
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	5	5	5	39667.36	39667.36	39667.36	4C(57.0214)		
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	172819.03	172819.03	172819.03	4M(15.9949)		
sp|O15533|TPSN_HUMAN	O15533	TPSN_HUMAN	TAPBP	448	Homo sapiens OX=9606	Tapasin 	1:Experimental evidence at protein level	1.0000	0.9988	1	1	1	1	1	1	58587.645	58587.645	58587.645	4M(15.9949)		
sp|O15551|CLD3_HUMAN	O15551	CLD3_HUMAN	CLDN3	220	Homo sapiens OX=9606	Claudin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	10	10	10	127930.41	127930.41	127930.41			
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	16	16	16	105807.96	105807.96	105807.96	3M(15.9949)		
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	D-3-phosphoglycerate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	6	5	5	35080.973	35080.973	35080.973			
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	160136.84	160136.84	160136.84	2M(15.9949),1M(15.9949)		
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	23	11	23	538057.25	190719.05	538057.25	10M(15.9949),5C(57.0214), 8M(15.9949),2M(15.9949), 3M(15.9949)		
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens OX=9606	Tumor protein D54 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	70543.305	70543.305	70543.305			
sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	359	Homo sapiens OX=9606	Aflatoxin B1 aldehyde reductase member 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	5	3	5	117879.23	94359.2	117879.23	10M(15.9949), 8M(15.9949),2M(15.9949)		
sp|O43491|E41L2_HUMAN	O43491	E41L2_HUMAN	EPB41L2	1005	Homo sapiens OX=9606	Band 4.1-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	13	12	13	172465.27	156791.28	172465.27	N-term(42.0106),N-term(42.0106),3M(15.9949)		
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	Homo sapiens OX=9606	Density-regulated protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	8526.117	8526.117	8526.117			
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	Homo sapiens OX=9606	Mitotic checkpoint protein BUB3 	1:Experimental evidence at protein level	1.0000	0.9986	4	4	4	4	4	4	64409.64	64409.64	64409.64	9M(15.9949)		
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens OX=9606	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	20	10	20	59	31	59	1193318.6	951934.3	1193318.6	6M(15.9949),8M(15.9949),8M(15.9949),10C(57.0214),7M(15.9949)		
sp|O43747|AP1G1_HUMAN	O43747	AP1G1_HUMAN	AP1G1	822	Homo sapiens OX=9606	AP-1 complex subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9984	2	1	2	3	2	3	89791.484	68379.1	89791.484	8M(15.9949)		
sp|O43760|SNG2_HUMAN	O43760	SNG2_HUMAN	SYNGR2	224	Homo sapiens OX=9606	Synaptogyrin-2 	1:Experimental evidence at protein level	1.0000	0.9972	2	0	2	6	0	6	116860.61	0	116860.61			
sp|O43795|MYO1B_HUMAN	O43795	MYO1B_HUMAN	MYO1B	1136	Homo sapiens OX=9606	Unconventional myosin-Ib 	1:Experimental evidence at protein level	1.0000	0.9988	5	4	4	9	7	7	73330.34	73330.34	73330.34			
sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9984	2	2	2	2	2	2	59162.137	59162.137	59162.137			
sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	10	10	10	109994.98	109994.98	109994.98	2M(15.9949)		
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	Homo sapiens OX=9606	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1:Experimental evidence at protein level	1.0000	0.9988	4	1	4	4	1	4	139001.11	38386.527	139001.11	7M(15.9949)		
sp|O60313|OPA1_HUMAN	O60313	OPA1_HUMAN	OPA1	960	Homo sapiens OX=9606	Dynamin-like 120 kDa protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	49317.39	49317.39	49317.39	1M(15.9949)		
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein Q 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	2	17	5	5	575645.94	179428.38	179428.38	2M(15.9949), 3M(15.9949)		
sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	Homo sapiens OX=9606	GDP-mannose 4,6 dehydratase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	232818.89	232818.89	232818.89			
sp|O60568|PLOD3_HUMAN	O60568	PLOD3_HUMAN	PLOD3	738	Homo sapiens OX=9606	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	39176.805	39176.805	39176.805	3M(15.9949)		
sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	Homo sapiens OX=9606	Perilipin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	73778.87	73778.87	73778.87	11M(15.9949),7M(15.9949)		
sp|O60701|UGDH_HUMAN	O60701	UGDH_HUMAN	UGDH	494	Homo sapiens OX=9606	UDP-glucose 6-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	315869.53	315869.53	315869.53			
sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	Homo sapiens OX=9606	Catenin delta-1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	3	3	3	53143.21	53143.21	53143.21			
sp|O60749|SNX2_HUMAN	O60749	SNX2_HUMAN	SNX2	519	Homo sapiens OX=9606	Sorting nexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	1	6	3	3	74375.695	18107.66	18107.66			
sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	96944.375	96944.375	96944.375			
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit DKC1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	97882.82	97882.82	97882.82	2M(15.9949)		
sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	3	3	3	37304.67	37304.67	37304.67			
sp|O60925|PFD1_HUMAN	O60925	PFD1_HUMAN	PFDN1	122	Homo sapiens OX=9606	Prefoldin subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	31468.146	31468.146	31468.146	N-term(42.0106)		
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens OX=9606	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	16	16	16	307226.66	307226.66	307226.66	5M(15.9949)		
sp|O75116|ROCK2_HUMAN	O75116	ROCK2_HUMAN	ROCK2	1388	Homo sapiens OX=9606	Rho-associated protein kinase 2 	1:Experimental evidence at protein level	1.0000	0.9982	1	0	1	2	0	2	20877.76	0	20877.76			
sp|O75131|CPNE3_HUMAN	O75131	CPNE3_HUMAN	CPNE3	537	Homo sapiens OX=9606	Copine-3 	1:Experimental evidence at protein level	1.0000	0.9976	1	1	1	1	1	1	26849.62	26849.62	26849.62	6M(15.9949)		
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens OX=9606	Gamma-glutamylcyclotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	84153.39	84153.39	84153.39	8C(57.0214)		
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens OX=9606	Tubulin-specific chaperone A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	37895.81	37895.81	37895.81			
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	Homo sapiens OX=9606	Core histone macro-H2A.1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	10	7	10	661199.94	347094.3	661199.94			
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens OX=9606	Filamin-B 	1:Experimental evidence at protein level	1.0000	0.9990	36	34	34	74	72	72	324285.1	324285.1	324285.1	6M(15.9949),6M(15.9949),10M(15.9949),13M(15.9949),9M(15.9949),1C(57.0214),4C(57.0214),11M(15.9949),11M(15.9949),7C(57.0214),5M(15.9949),11M(15.9949),6C(57.0214)		
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens OX=9606	Citrate synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	335586.62	335586.62	335586.62			
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens OX=9606	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	4	4	4	66892.82	66892.82	66892.82	5M(15.9949)		
sp|O75400|PR40A_HUMAN	O75400	PR40A_HUMAN	PRPF40A	957	Homo sapiens OX=9606	Pre-mRNA-processing factor 40 homolog A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	45845.305	45845.305	45845.305			
sp|O75436|VP26A_HUMAN	O75436	VP26A_HUMAN	VPS26A	327	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 26A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	17612.31	17612.31	17612.31			
sp|O75439|MPPB_HUMAN	O75439	MPPB_HUMAN	PMPCB	489	Homo sapiens OX=9606	Mitochondrial-processing peptidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	8	8	8	106087.25	106087.25	106087.25			
sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	Homo sapiens OX=9606	Splicing factor 3B subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	113078.305	113078.305	113078.305	2M(15.9949)		
sp|O75608|LYPA1_HUMAN	O75608	LYPA1_HUMAN	LYPLA1	230	Homo sapiens OX=9606	Acyl-protein thioesterase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	74450.67	74450.67	74450.67			
sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	Homo sapiens OX=9606	U5 small nuclear ribonucleoprotein 200 kDa helicase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	89315.3	89315.3	89315.3	4M(15.9949),1M(15.9949),6M(15.9949),7M(15.9949)		
sp|O75822|EIF3J_HUMAN	O75822	EIF3J_HUMAN	EIF3J	258	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit J 	1:Experimental evidence at protein level	1.0000	0.9986	1	1	1	1	1	1	30161.365	30161.365	30161.365			
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	Homo sapiens OX=9606	Isocitrate dehydrogenase [NADP] cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	8	24	23	23	710828.56	556966.75	556966.75	14M(15.9949), 9M(15.9949),10M(15.9949), 5M(15.9949),10M(15.9949),9C(57.0214)		
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	Homo sapiens OX=9606	ATP synthase subunit d, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9978	2	2	2	4	4	4	74812.37	74812.37	74812.37	8M(15.9949)		
sp|O75955|FLOT1_HUMAN	O75955	FLOT1_HUMAN	FLOT1	427	Homo sapiens OX=9606	Flotillin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	8	8	8	126315.44	126315.44	126315.44	11M(15.9949)		
sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens OX=9606	Keratin, type I cuticular Ha6 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	4	26	5	16	4447490.0	106411.984	321147.62	3M(15.9949)		
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	Homo sapiens OX=9606	Ribosomal L1 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	66485.36	66485.36	66485.36			
sp|O76031|CLPX_HUMAN	O76031	CLPX_HUMAN	CLPX	633	Homo sapiens OX=9606	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	21492.61	21492.61	21492.61			
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens OX=9606	Signal recognition particle subunit SRP72 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	10780.042	10780.042	10780.042			
sp|O94760|DDAH1_HUMAN	O94760	DDAH1_HUMAN	DDAH1	285	Homo sapiens OX=9606	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	13	12	13	289334.66	287822.44	289334.66	N-term(42.0106)		
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens OX=9606	Metastasis-associated protein MTA2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	63182.465	63182.465	63182.465			
sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	69290.74	69290.74	69290.74	2M(15.9949)		
sp|O94832|MYO1D_HUMAN	O94832	MYO1D_HUMAN	MYO1D	1006	Homo sapiens OX=9606	Unconventional myosin-Id 	1:Experimental evidence at protein level	1.0000	0.9988	11	10	11	14	12	14	289641.3	289641.3	289641.3	6M(15.9949)		
sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	Homo sapiens OX=9606	E3 UFM1-protein ligase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	8	8	8	32113.54	32113.54	32113.54	4M(15.9949)		
sp|O94905|ERLN2_HUMAN	O94905	ERLN2_HUMAN	ERLIN2	339	Homo sapiens OX=9606	Erlin-2 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	8	3	8	101486.195	39087.55	101486.195	9M(15.9949)		
