Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
40	a	sp|A2AQ25|SKT_MOUSE	A2AQ25	SKT_MOUSE	Skt	1946	9.10	Mus musculus OX=10090	Sickle tail protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2M(15.9949), 8M(15.9949)		
45	a	sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	9.60	Mus musculus OX=10090	Rab GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	2M(15.9949)		
48	a	sp|B0V2N1|PTPRS_MOUSE	B0V2N1	PTPRS_MOUSE	Ptprs	1907	13.50	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase S 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	7	3	3	     0	     0	     0			
51	a	sp|B1AZP2|DLGP4_MOUSE	B1AZP2	DLGP4_MOUSE	Dlgap4	992	8.60	Mus musculus OX=10090	Disks large-associated protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	8M(15.9949)		
57	a	sp|B9EKR1|PTPRZ_MOUSE	B9EKR1	PTPRZ_MOUSE	Ptprz1	2312	7.40	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase zeta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
64	a	sp|E9PUL5|PRRT2_MOUSE	E9PUL5	PRRT2_MOUSE	Prrt2	346	31.50	Mus musculus OX=10090	Proline-rich transmembrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
65	a	sp|E9PVA8|GCN1_MOUSE	E9PVA8	GCN1_MOUSE	Gcn1	2671	6.00	Mus musculus OX=10090	eIF-2-alpha kinase activator GCN1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	2M(15.9949)		
67	a	sp|E9Q3L2|PI4KA_MOUSE	E9Q3L2	PI4KA_MOUSE	Pi4ka	2105	24.10	Mus musculus OX=10090	Phosphatidylinositol 4-kinase alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	8M(15.9949)		
68	a	sp|E9Q401|RYR2_MOUSE	E9Q401	RYR2_MOUSE	Ryr2	4966	20.40	Mus musculus OX=10090	Ryanodine receptor 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	1M(15.9949), 4M(15.9949)		
74	a	sp|F6SEU4|SYGP1_MOUSE	F6SEU4	SYGP1_MOUSE	Syngap1	1340	42.60	Mus musculus OX=10090	Ras/Rap GTPase-activating protein SynGAP 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	13	13	13	     0	     0	     0	14M(15.9949), 3M(15.9949), 6M(15.9949)		
77	a	sp|G3X9C2|FBX50_MOUSE	G3X9C2	FBX50_MOUSE	Nccrp1	266	18.00	Mus musculus OX=10090	F-box only protein 50 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
79	a	sp|G5E829|AT2B1_MOUSE	G5E829	AT2B1_MOUSE	Atp2b1	1220	48.30	Mus musculus OX=10090	Plasma membrane calcium-transporting ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	21	9	11	75	29	33	     0	     0	     0	10M(15.9949), 1M(15.9949), 6M(15.9949), 7M(15.9949), 9M(15.9949)		
80	a	sp|G5E8K5|ANK3_MOUSE	G5E8K5	ANK3_MOUSE	Ank3	1961	26.30	Mus musculus OX=10090	Ankyrin-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	3	6	2	4	     0	     0	     0			
83	a	sp|O08532|CA2D1_MOUSE	O08532	CA2D1_MOUSE	Cacna2d1	1103	19.10	Mus musculus OX=10090	Voltage-dependent calcium channel subunit alpha-2/delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	11M(15.9949)		
85	a	sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	81.30	Mus musculus OX=10090	Dihydropyrimidinase-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	18	10	18	75	48	75	     0	     0	     0	1M(15.9949), 6M(15.9949)		
86	a	sp|O08576|RUN3A_MOUSE	O08576	RUN3A_MOUSE	Rundc3a	446	11.40	Mus musculus OX=10090	RUN domain-containing protein 3A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	1M(15.9949)		
88	a	sp|O08585|CLCA_MOUSE	O08585	CLCA_MOUSE	Clta	235	55.30	Mus musculus OX=10090	Clathrin light chain A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	9	9	9	     0	     0	     0			
90	a	sp|O08638|MYH11_MOUSE	O08638	MYH11_MOUSE	Myh11	1972	25.40	Mus musculus OX=10090	Myosin-11 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	0	7	0	0	     0	     0	     0			
93	a	sp|O08709|PRDX6_MOUSE	O08709	PRDX6_MOUSE	Prdx6	224	73.20	Mus musculus OX=10090	Peroxiredoxin-6 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
94	a	sp|O08749|DLDH_MOUSE	O08749	DLDH_MOUSE	Dld	509	53.80	Mus musculus OX=10090	Dihydrolipoyl dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	11	11	11	     0	     0	     0			
97	a	sp|O08810|U5S1_MOUSE	O08810	U5S1_MOUSE	Eftud2	971	19.60	Mus musculus OX=10090	116 kDa U5 small nuclear ribonucleoprotein component 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
100	a	sp|O08917|FLOT1_MOUSE	O08917	FLOT1_MOUSE	Flot1	428	52.60	Mus musculus OX=10090	Flotillin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	11M(15.9949), 5M(15.9949)		
101	a	sp|O08919|NUMBL_MOUSE	O08919	NUMBL_MOUSE	Numbl	604	11.30	Mus musculus OX=10090	Numb-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
103	a	sp|O09061|PSB1_MOUSE	O09061	PSB1_MOUSE	Psmb1	240	66.20	Mus musculus OX=10090	Proteasome subunit beta type-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
104	a	sp|O09111|NDUBB_MOUSE	O09111	NDUBB_MOUSE	Ndufb11	151	32.50	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9988	1	1	1	1	1	1	     0	     0	     0			
107	a	sp|O35098|DPYL4_MOUSE	O35098	DPYL4_MOUSE	Dpysl4	572	49.50	Mus musculus OX=10090	Dihydropyrimidinase-related protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0	1M(15.9949)		
108	a	sp|O35129|PHB2_MOUSE	O35129	PHB2_MOUSE	Phb2	299	63.90	Mus musculus OX=10090	Prohibitin-2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	10	10	10	     0	     0	     0	4M(15.9949)		
109	a	sp|O35136|NCAM2_MOUSE	O35136	NCAM2_MOUSE	Ncam2	837	29.50	Mus musculus OX=10090	Neural cell adhesion molecule 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
114	a	sp|O35286|DHX15_MOUSE	O35286	DHX15_MOUSE	Dhx15	795	22.50	Mus musculus OX=10090	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
115	a	sp|O35295|PURB_MOUSE	O35295	PURB_MOUSE	Purb	324	44.10	Mus musculus OX=10090	Transcriptional activator protein Pur-beta 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
118	a	sp|O35405|PLD3_MOUSE	O35405	PLD3_MOUSE	Pld3	488	9.60	Mus musculus OX=10090	5'-3' exonuclease PLD3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
123	a	sp|O35526|STX1A_MOUSE	O35526	STX1A_MOUSE	Stx1a	288	68.40	Mus musculus OX=10090	Syntaxin-1A 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	6	16	14	14	     0	     0	     0	9M(15.9949)		
125	a	sp|O35593|PSDE_MOUSE	O35593	PSDE_MOUSE	Psmd14	310	27.10	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	     0	     0	     0			
128	a	sp|O35633|VIAAT_MOUSE	O35633	VIAAT_MOUSE	Slc32a1	525	20.20	Mus musculus OX=10090	Vesicular inhibitory amino acid transporter 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
130	a	sp|O35643|AP1B1_MOUSE	O35643	AP1B1_MOUSE	Ap1b1	943	40.60	Mus musculus OX=10090	AP-1 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	2	2	18	2	2	     0	     0	     0			
132	a	sp|O35678|MGLL_MOUSE	O35678	MGLL_MOUSE	Mgll	303	40.90	Mus musculus OX=10090	Monoglyceride lipase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	6M(15.9949)		
133	a	sp|O35682|MYADM_MOUSE	O35682	MYADM_MOUSE	Myadm	320	20.60	Mus musculus OX=10090	Myeloid-associated differentiation marker 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
136	a	sp|O35841|API5_MOUSE	O35841	API5_MOUSE	Api5	504	23.40	Mus musculus OX=10090	Apoptosis inhibitor 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
139	a	sp|O35864|CSN5_MOUSE	O35864	CSN5_MOUSE	Cops5	334	31.40	Mus musculus OX=10090	COP9 signalosome complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	11M(15.9949), 8M(15.9949)		
141	a	sp|O35954|PITM1_MOUSE	O35954	PITM1_MOUSE	Pitpnm1	1243	13.00	Mus musculus OX=10090	Membrane-associated phosphatidylinositol transfer protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
144	a	sp|O54734|OST48_MOUSE	O54734	OST48_MOUSE	Ddost	441	20.20	Mus musculus OX=10090	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
145	a	sp|O54774|AP3D1_MOUSE	O54774	AP3D1_MOUSE	Ap3d1	1199	26.90	Mus musculus OX=10090	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	9	9	9	     0	     0	     0	8M(15.9949), 9M(15.9949)		
147	a	sp|O54829|RGS7_MOUSE	O54829	RGS7_MOUSE	Rgs7	469	32.20	Mus musculus OX=10090	Regulator of G-protein signaling 7 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
153	a	sp|O54984|GET3_MOUSE	O54984	GET3_MOUSE	Get3	348	25.00	Mus musculus OX=10090	ATPase GET3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
155	a	sp|O54991|CNTP1_MOUSE	O54991	CNTP1_MOUSE	Cntnap1	1385	30.00	Mus musculus OX=10090	Contactin-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	6M(15.9949), 9M(15.9949)		
158	a	sp|O55023|IMPA1_MOUSE	O55023	IMPA1_MOUSE	Impa1	277	32.50	Mus musculus OX=10090	Inositol monophosphatase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
160	a	sp|O55029|COPB2_MOUSE	O55029	COPB2_MOUSE	Copb2	905	31.20	Mus musculus OX=10090	Coatomer subunit beta' 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	9M(15.9949)		
161	a	sp|O55042|SYUA_MOUSE	O55042	SYUA_MOUSE	Snca	140	70.00	Mus musculus OX=10090	Alpha-synuclein 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	     0	     0	     0			
163	a	sp|O55100|SNG1_MOUSE	O55100	SNG1_MOUSE	Syngr1	234	25.60	Mus musculus OX=10090	Synaptogyrin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
165	a	sp|O55125|NIPS1_MOUSE	O55125	NIPS1_MOUSE	Nipsnap1	284	35.20	Mus musculus OX=10090	Protein NipSnap homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
166	a	sp|O55126|NIPS2_MOUSE	O55126	NIPS2_MOUSE	Nipsnap2	281	29.90	Mus musculus OX=10090	Protein NipSnap homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
169	a	sp|O55142|RL35A_MOUSE	O55142	RL35A_MOUSE	Rpl35a	110	15.50	Mus musculus OX=10090	60S ribosomal protein L35a 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0	2M(15.9949)		
171	a	sp|O55234|PSB5_MOUSE	O55234	PSB5_MOUSE	Psmb5	264	49.60	Mus musculus OX=10090	Proteasome subunit beta type-5 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0	13M(15.9949), 5M(15.9949)		
172	a	sp|O70133|DHX9_MOUSE	O70133	DHX9_MOUSE	Dhx9	1380	27.20	Mus musculus OX=10090	ATP-dependent RNA helicase A 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	     0	     0	     0	3M(15.9949)		
174	a	sp|O70161|PI51C_MOUSE	O70161	PI51C_MOUSE	Pip5k1c	661	28.90	Mus musculus OX=10090	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	3	4	     0	     0	     0	2M(15.9949)		
178	a	sp|O70252|HMOX2_MOUSE	O70252	HMOX2_MOUSE	Hmox2	315	25.10	Mus musculus OX=10090	Heme oxygenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	1M(15.9949)		
180	a	sp|O70318|E41L2_MOUSE	O70318	E41L2_MOUSE	Epb41l2	988	19.20	Mus musculus OX=10090	Band 4.1-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	1	3	1	1	     0	     0	     0			
181	a	sp|O70325|GPX4_MOUSE	O70325	GPX4_MOUSE	Gpx4	197	19.30	Mus musculus OX=10090	Phospholipid hydroperoxide glutathione peroxidase 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	4M(15.9949)		
183	a	sp|O70435|PSA3_MOUSE	O70435	PSA3_MOUSE	Psma3	255	47.10	Mus musculus OX=10090	Proteasome subunit alpha type-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0			
184	a	sp|O70439|STX7_MOUSE	O70439	STX7_MOUSE	Stx7	261	26.40	Mus musculus OX=10090	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
185	a	sp|O70443|GNAZ_MOUSE	O70443	GNAZ_MOUSE	Gnaz	355	47.30	Mus musculus OX=10090	Guanine nucleotide-binding protein G(z) subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	3	4	     0	     0	     0	11M(15.9949), 1M(15.9949)		
186	a	sp|O70456|1433S_MOUSE	O70456	1433S_MOUSE	Sfn	248	45.60	Mus musculus OX=10090	14-3-3 protein sigma 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	0	7	0	0	     0	     0	     0			
187	a	sp|O70492|SNX3_MOUSE	O70492	SNX3_MOUSE	Snx3	162	21.60	Mus musculus OX=10090	Sorting nexin-3 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	     0	     0	     0			
188	a	sp|O70493|SNX12_MOUSE	O70493	SNX12_MOUSE	Snx12	165	35.20	Mus musculus OX=10090	Sorting nexin-12 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
189	a	sp|O70503|DHB12_MOUSE	O70503	DHB12_MOUSE	Hsd17b12	312	31.40	Mus musculus OX=10090	Very-long-chain 3-oxoacyl-CoA reductase 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
191	a	sp|O70589|CSKP_MOUSE	O70589	CSKP_MOUSE	Cask	926	23.30	Mus musculus OX=10090	Peripheral plasma membrane protein CASK 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0			
194	a	sp|O88342|WDR1_MOUSE	O88342	WDR1_MOUSE	Wdr1	606	39.40	Mus musculus OX=10090	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	     0	     0	     0			
195	a	sp|O88343|S4A4_MOUSE	O88343	S4A4_MOUSE	Slc4a4	1079	33.70	Mus musculus OX=10090	Electrogenic sodium bicarbonate cotransporter 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	5	8	6	6	     0	     0	     0	1M(15.9949), 4M(15.9949)		
203	a	sp|O88485|DC1I1_MOUSE	O88485	DC1I1_MOUSE	Dync1i1	628	18.30	Mus musculus OX=10090	Cytoplasmic dynein 1 intermediate chain 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
209	a	sp|O88545|CSN6_MOUSE	O88545	CSN6_MOUSE	Cops6	324	26.20	Mus musculus OX=10090	COP9 signalosome complex subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
210	a	sp|O88569|ROA2_MOUSE	O88569	ROA2_MOUSE	Hnrnpa2b1	353	62.60	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoproteins A2/B1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	11	10	11	     0	     0	     0			
212	a	sp|O88602|CCG2_MOUSE	O88602	CCG2_MOUSE	Cacng2	323	13.00	Mus musculus OX=10090	Voltage-dependent calcium channel gamma-2 subunit 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
213	a	sp|O88685|PRS6A_MOUSE	O88685	PRS6A_MOUSE	Psmc3	442	39.10	Mus musculus OX=10090	26S proteasome regulatory subunit 6A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	1M(15.9949), 4M(15.9949)		
215	a	sp|O88712|CTBP1_MOUSE	O88712	CTBP1_MOUSE	Ctbp1	441	27.00	Mus musculus OX=10090	C-terminal-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	9	7	9	     0	     0	     0			
217	a	sp|O88741|GDAP1_MOUSE	O88741	GDAP1_MOUSE	Gdap1	358	34.60	Mus musculus OX=10090	Ganglioside-induced differentiation-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	4M(15.9949)		
218	a	sp|O88844|IDHC_MOUSE	O88844	IDHC_MOUSE	Idh1	414	44.40	Mus musculus OX=10090	Isocitrate dehydrogenase [NADP] cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
220	a	sp|O88935|SYN1_MOUSE	O88935	SYN1_MOUSE	Syn1	706	64.40	Mus musculus OX=10090	Synapsin-1 	1:Experimental evidence at protein level	1.0000	0.9990	14	11	14	43	31	43	     0	     0	     0	11M(15.9949), 13M(15.9949), 1M(15.9949), 2M(15.9949), 5M(15.9949), 7M(15.9949)		
221	a	sp|O88951|LIN7B_MOUSE	O88951	LIN7B_MOUSE	Lin7b	207	16.40	Mus musculus OX=10090	Protein lin-7 homolog B 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	0	2	0	0	     0	     0	     0			
222	a	sp|O88958|GNPI1_MOUSE	O88958	GNPI1_MOUSE	Gnpda1	289	37.40	Mus musculus OX=10090	Glucosamine-6-phosphate isomerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
228	a	sp|O89053|COR1A_MOUSE	O89053	COR1A_MOUSE	Coro1a	461	43.40	Mus musculus OX=10090	Coronin-1A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
232	a	sp|P00397|COX1_MOUSE	P00397	COX1_MOUSE	Mtco1	514	21.80	Mus musculus OX=10090	Cytochrome c oxidase subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	     0	     0	     0	1M(15.9949), 7M(15.9949)		
233	a	sp|P00405|COX2_MOUSE	P00405	COX2_MOUSE	Mtco2	227	54.20	Mus musculus OX=10090	Cytochrome c oxidase subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	10	10	10	     0	     0	     0	5M(15.9949)		
234	a	sp|P00416|COX3_MOUSE	P00416	COX3_MOUSE	mt-Co3	261	5.40	Mus musculus OX=10090	Cytochrome c oxidase subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	     0	     0	     0			
235	a	sp|P00493|HPRT_MOUSE	P00493	HPRT_MOUSE	Hprt1	218	42.20	Mus musculus OX=10090	Hypoxanthine-guanine phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0	2M(15.9949), 4M(15.9949), 9M(15.9949)		
237	a	sp|P01831|THY1_MOUSE	P01831	THY1_MOUSE	Thy1	162	34.60	Mus musculus OX=10090	Thy-1 membrane glycoprotein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	     0	     0	     0			
238	a	sp|P02301|H3C_MOUSE	P02301	H3C_MOUSE	H3-5	136	57.40	Mus musculus OX=10090	Histone H3.3C 	3:Protein inferred from homology	1.0000	0.9990	4	0	0	6	0	0	     0	     0	     0			sp|P84244|H33_MOUSE
241	a	sp|P03888|NU1M_MOUSE	P03888	NU1M_MOUSE	Mtnd1	318	22.30	Mus musculus OX=10090	NADH-ubiquinone oxidoreductase chain 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	5M(15.9949)		
243	a	sp|P03911|NU4M_MOUSE	P03911	NU4M_MOUSE	Mtnd4	459	18.10	Mus musculus OX=10090	NADH-ubiquinone oxidoreductase chain 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
244	a	sp|P03921|NU5M_MOUSE	P03921	NU5M_MOUSE	Mtnd5	607	20.40	Mus musculus OX=10090	NADH-ubiquinone oxidoreductase chain 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	7M(15.9949)		
246	a	sp|P04370|MBP_MOUSE	P04370	MBP_MOUSE	Mbp	250	37.20	Mus musculus OX=10090	Myelin basic protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	52	52	52	     0	     0	     0	8M(15.9949)		
248	a	sp|P05063|ALDOC_MOUSE	P05063	ALDOC_MOUSE	Aldoc	363	78.80	Mus musculus OX=10090	Fructose-bisphosphate aldolase C 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	8	21	19	19	     0	     0	     0	12M(15.9949)		
249	a	sp|P05064|ALDOA_MOUSE	P05064	ALDOA_MOUSE	Aldoa	364	92.90	Mus musculus OX=10090	Fructose-bisphosphate aldolase A 	1:Experimental evidence at protein level	1.0000	0.9990	17	2	17	52	3	52	     0	     0	     0	3M(15.9949)		
250	a	sp|P05201|AATC_MOUSE	P05201	AATC_MOUSE	Got1	413	53.00	Mus musculus OX=10090	Aspartate aminotransferase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	19	19	19	     0	     0	     0	6M(15.9949)		
