Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	144	Homo sapiens OX=9606	Eukaryotic translation initiation factor 1A, Y-chromosomal 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	4	0	4	40651.332	0	40651.332			sp|P47813|IF1AX_HUMAN
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	7300.0996	7300.0996	7300.0996	9M(15.9949)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9986	1	1	1	2	2	2	7507.4077	7507.4077	7507.4077	9M(15.9949)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	62288.094	62288.094	62288.094	3M(15.9949), N-term(42.0106)		
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	6	2	6	100102.08	21027.686	100102.08			
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	16119.062	16119.062	16119.062			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	13	0	13	205747.06	0	205747.06	6M(15.9949),5M(15.9949)		sp|P19105|ML12A_HUMAN
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	Protein phosphatase 1 regulatory subunit 12A 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	14549.75	14549.75	14549.75			
sp|O14976|GAK_HUMAN	O14976	GAK_HUMAN	GAK	1311	Homo sapiens OX=9606	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9966	2	2	2	4	4	4	37440.6	37440.6	37440.6	2M(15.9949)		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	75503.28	75503.28	75503.28	1M(15.9949),2M(15.9949)		
sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	329	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	70683.65	70683.65	70683.65			
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	74454.59	74454.59	74454.59			
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	109092.23	109092.23	109092.23	1M(15.9949),9M(15.9949)		
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	269	Homo sapiens OX=9606	Surfeit locus protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	262015.61	262015.61	262015.61	2M(15.9949), 9M(15.9949)		
sp|O15264|MK13_HUMAN	O15264	MK13_HUMAN	MAPK13	365	Homo sapiens OX=9606	Mitogen-activated protein kinase 13 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	96970.43	96970.43	96970.43	6M(15.9949)		
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	3	4	41058.1	37931.766	41058.1	2M(15.9949)		
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9984	1	1	1	1	1	1	19562.16	19562.16	19562.16			
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	5	5	5	28047.396	28047.396	28047.396	4C(57.0214)		
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	100327.7	100327.7	100327.7	4M(15.9949)		
sp|O15533|TPSN_HUMAN	O15533	TPSN_HUMAN	TAPBP	448	Homo sapiens OX=9606	Tapasin 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	86627.08	86627.08	86627.08	4M(15.9949)		
sp|O15551|CLD3_HUMAN	O15551	CLD3_HUMAN	CLDN3	220	Homo sapiens OX=9606	Claudin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	116957.14	116957.14	116957.14			
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	11	11	11	69306.87	69306.87	69306.87	3M(15.9949)		
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	D-3-phosphoglycerate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	33126.547	33126.547	33126.547			
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	102443.44	102443.44	102443.44	2M(15.9949)		
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	9	4	9	19	8	19	428442.5	139052.12	428442.5	10M(15.9949),2M(15.9949), 3M(15.9949)		
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens OX=9606	Tumor protein D54 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	40390.258	40390.258	40390.258			
sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	359	Homo sapiens OX=9606	Aflatoxin B1 aldehyde reductase member 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	90505.45	90505.45	90505.45	2M(15.9949),10M(15.9949), 8M(15.9949)		
sp|O43491|E41L2_HUMAN	O43491	E41L2_HUMAN	EPB41L2	1005	Homo sapiens OX=9606	Band 4.1-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	17	14	17	140797.69	140797.69	140797.69	3M(15.9949),N-term(42.0106)		
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	Homo sapiens OX=9606	Density-regulated protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	35274.207	35274.207	35274.207			
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	Homo sapiens OX=9606	Mitotic checkpoint protein BUB3 	1:Experimental evidence at protein level	1.0000	0.9986	2	2	2	3	3	3	85295.5	85295.5	85295.5	9M(15.9949)		
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens OX=9606	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	21	12	20	50	27	49	969959.0	889258.25	969959.0	7M(15.9949),6M(15.9949),8M(15.9949),8M(15.9949)		
sp|O43747|AP1G1_HUMAN	O43747	AP1G1_HUMAN	AP1G1	822	Homo sapiens OX=9606	AP-1 complex subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9984	2	1	2	2	1	2	51501.71	32632.334	51501.71	8M(15.9949)		
sp|O43760|SNG2_HUMAN	O43760	SNG2_HUMAN	SYNGR2	224	Homo sapiens OX=9606	Synaptogyrin-2 	1:Experimental evidence at protein level	1.0000	0.9972	3	1	3	6	3	6	113226.39	31707.057	113226.39			
sp|O43795|MYO1B_HUMAN	O43795	MYO1B_HUMAN	MYO1B	1136	Homo sapiens OX=9606	Unconventional myosin-Ib 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	5	5	5	59239.57	59239.57	59239.57			
sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9984	2	2	2	2	2	2	53993.906	53993.906	53993.906			
sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	10	10	10	115324.33	115324.33	115324.33	2M(15.9949)		
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	Homo sapiens OX=9606	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1:Experimental evidence at protein level	1.0000	0.9988	4	2	4	4	2	4	75872.64	37113.36	75872.64			
sp|O60313|OPA1_HUMAN	O60313	OPA1_HUMAN	OPA1	960	Homo sapiens OX=9606	Dynamin-like 120 kDa protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	54696.254	54696.254	54696.254	1M(15.9949)		
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein Q 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	2	13	2	2	419792.62	78920.516	78920.516	10M(15.9949),2M(15.9949), 3M(15.9949)		
sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	Homo sapiens OX=9606	GDP-mannose 4,6 dehydratase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	118310.62	118310.62	118310.62			
sp|O60568|PLOD3_HUMAN	O60568	PLOD3_HUMAN	PLOD3	738	Homo sapiens OX=9606	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	38813.62	38813.62	38813.62	3M(15.9949)		
sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	Homo sapiens OX=9606	Perilipin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	84166.06	84166.06	84166.06	11M(15.9949)		
sp|O60701|UGDH_HUMAN	O60701	UGDH_HUMAN	UGDH	494	Homo sapiens OX=9606	UDP-glucose 6-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	10	10	10	227623.44	227623.44	227623.44			
sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	Homo sapiens OX=9606	Catenin delta-1 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	4	4	4	95945.4	95945.4	95945.4			
sp|O60749|SNX2_HUMAN	O60749	SNX2_HUMAN	SNX2	519	Homo sapiens OX=9606	Sorting nexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	7	3	3	53115.41	18188.062	18188.062			
sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	15	15	15	72548.11	72548.11	72548.11			
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit DKC1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	4	4	4	50900.234	50900.234	50900.234			
sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9987	1	1	1	1	1	1	0	0	0			
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens OX=9606	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	14	14	14	280157.3	280157.3	280157.3	5M(15.9949)		
sp|O75116|ROCK2_HUMAN	O75116	ROCK2_HUMAN	ROCK2	1388	Homo sapiens OX=9606	Rho-associated protein kinase 2 	1:Experimental evidence at protein level	1.0000	0.9982	1	1	1	1	1	1	11819.5	11819.5	11819.5			
sp|O75131|CPNE3_HUMAN	O75131	CPNE3_HUMAN	CPNE3	537	Homo sapiens OX=9606	Copine-3 	1:Experimental evidence at protein level	1.0000	0.9976	4	4	4	8	8	8	47918.676	47918.676	47918.676	8C(57.0214),6M(15.9949)		
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens OX=9606	Gamma-glutamylcyclotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	31973.256	31973.256	31973.256			
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens OX=9606	Tubulin-specific chaperone A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	20720.559	20720.559	20720.559			
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	Homo sapiens OX=9606	Core histone macro-H2A.1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	10	8	10	384049.56	197585.97	384049.56			
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens OX=9606	Filamin-B 	1:Experimental evidence at protein level	1.0000	0.9990	33	30	31	56	53	54	271981.06	271981.06	271981.06	4M(15.9949),10M(15.9949),15K(54.0474),9M(15.9949),11M(15.9949),11M(15.9949),7C(57.0214),6C(57.0214),6M(15.9949),5M(15.9949),13M(15.9949),11M(15.9949),11M(15.9949)		
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens OX=9606	Citrate synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	293726.38	293726.38	293726.38	7C(57.0214)		
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens OX=9606	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	2	2	2	43761.047	43761.047	43761.047			
sp|O75436|VP26A_HUMAN	O75436	VP26A_HUMAN	VPS26A	327	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 26A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	22106.867	22106.867	22106.867			
sp|O75439|MPPB_HUMAN	O75439	MPPB_HUMAN	PMPCB	489	Homo sapiens OX=9606	Mitochondrial-processing peptidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	7	7	7	75328.98	75328.98	75328.98	2C(57.0214),6M(15.9949)		
sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	Homo sapiens OX=9606	Splicing factor 3B subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	9	9	9	143573.6	143573.6	143573.6			
sp|O75608|LYPA1_HUMAN	O75608	LYPA1_HUMAN	LYPLA1	230	Homo sapiens OX=9606	Acyl-protein thioesterase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	59081.777	59081.777	59081.777			
sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	Homo sapiens OX=9606	U5 small nuclear ribonucleoprotein 200 kDa helicase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	12	12	12	70893.336	70893.336	70893.336	7M(15.9949),6M(15.9949),4M(15.9949)		
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	Homo sapiens OX=9606	Isocitrate dehydrogenase [NADP] cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	6	24	21	21	490438.6	475028.28	475028.28	14M(15.9949), 9M(15.9949),10M(15.9949), 5M(15.9949)		
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	Homo sapiens OX=9606	ATP synthase subunit d, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9978	2	2	2	2	2	2	51339.535	51339.535	51339.535	8M(15.9949)		
sp|O75955|FLOT1_HUMAN	O75955	FLOT1_HUMAN	FLOT1	427	Homo sapiens OX=9606	Flotillin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	44465.55	44465.55	44465.55	11M(15.9949)		
sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens OX=9606	Keratin, type I cuticular Ha6 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	3	18	5	8	3293751.5	76867.414	260399.34	3M(15.9949)		
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	Homo sapiens OX=9606	Ribosomal L1 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	32061.324	32061.324	32061.324			
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens OX=9606	Signal recognition particle subunit SRP72 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	4919.3027	4919.3027	4919.3027			
sp|O94760|DDAH1_HUMAN	O94760	DDAH1_HUMAN	DDAH1	285	Homo sapiens OX=9606	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	7	6	7	177899.8	177899.81	177899.8	N-term(42.0106)		
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens OX=9606	Metastasis-associated protein MTA2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	37873.203	37873.203	37873.203			
sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	116937.55	116937.55	116937.55			
sp|O94832|MYO1D_HUMAN	O94832	MYO1D_HUMAN	MYO1D	1006	Homo sapiens OX=9606	Unconventional myosin-Id 	1:Experimental evidence at protein level	1.0000	0.9988	5	5	5	6	6	6	158047.6	158047.6	158047.6			
sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	Homo sapiens OX=9606	E3 UFM1-protein ligase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	55450.39	55450.39	55450.39	4M(15.9949)		
sp|O94905|ERLN2_HUMAN	O94905	ERLN2_HUMAN	ERLIN2	339	Homo sapiens OX=9606	Erlin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	4	1	4	56047.43	8113.8257	56047.43			
sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	Homo sapiens OX=9606	Pre-mRNA-processing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	7	7	7	32974.56	32974.56	32974.56			
sp|O94973|AP2A2_HUMAN	O94973	AP2A2_HUMAN	AP2A2	939	Homo sapiens OX=9606	AP-2 complex subunit alpha-2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	22383.873	22383.873	22383.873	2M(15.9949)		
sp|O94979|SC31A_HUMAN	O94979	SC31A_HUMAN	SEC31A	1220	Homo sapiens OX=9606	Protein transport protein Sec31A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	54177.254	54177.254	54177.254			
sp|O95168|NDUB4_HUMAN	O95168	NDUB4_HUMAN	NDUFB4	129	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	3	3	3	25009.238	25009.238	25009.238			
sp|O95197|RTN3_HUMAN	O95197	RTN3_HUMAN	RTN3	1032	Homo sapiens OX=9606	Reticulon-3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	5	5	5	21136.201	21136.201	21136.201			
sp|O95202|LETM1_HUMAN	O95202	LETM1_HUMAN	LETM1	739	Homo sapiens OX=9606	Mitochondrial proton/calcium exchanger protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	43161.938	43161.938	43161.938	12M(15.9949)		
sp|O95232|LC7L3_HUMAN	O95232	LC7L3_HUMAN	LUC7L3	432	Homo sapiens OX=9606	Luc7-like protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	3	3	3	17723.93	17723.93	17723.93			
