Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	InGel_1_1 Spectral Count	InGel_1_2 Spectral Count	InGel_1_3 Spectral Count	InGel_1_4 Spectral Count	InGel_1_5 Spectral Count	InGel_1_6 Spectral Count	InGel_2_1 Spectral Count	InGel_2_2 Spectral Count	InGel_2_3 Spectral Count	InGel_2_4 Spectral Count	InGel_2_5 Spectral Count	InGel_2_6 Spectral Count	InTip_1_1 Spectral Count	InTip_1_2 Spectral Count	InTip_1_3 Spectral Count	InTip_1_4 Spectral Count	InTip_1_5 Spectral Count	InTip_1_6 Spectral Count	InTip_2_1 Spectral Count	InTip_2_2 Spectral Count	InTip_2_3 Spectral Count	InTip_2_4 Spectral Count	InTip_2_5 Spectral Count	InTip_2_6 Spectral Count	InGel_1_1 Unique Spectral Count	InGel_1_2 Unique Spectral Count	InGel_1_3 Unique Spectral Count	InGel_1_4 Unique Spectral Count	InGel_1_5 Unique Spectral Count	InGel_1_6 Unique Spectral Count	InGel_2_1 Unique Spectral Count	InGel_2_2 Unique Spectral Count	InGel_2_3 Unique Spectral Count	InGel_2_4 Unique Spectral Count	InGel_2_5 Unique Spectral Count	InGel_2_6 Unique Spectral Count	InTip_1_1 Unique Spectral Count	InTip_1_2 Unique Spectral Count	InTip_1_3 Unique Spectral Count	InTip_1_4 Unique Spectral Count	InTip_1_5 Unique Spectral Count	InTip_1_6 Unique Spectral Count	InTip_2_1 Unique Spectral Count	InTip_2_2 Unique Spectral Count	InTip_2_3 Unique Spectral Count	InTip_2_4 Unique Spectral Count	InTip_2_5 Unique Spectral Count	InTip_2_6 Unique Spectral Count	InGel_1_1 Total Spectral Count	InGel_1_2 Total Spectral Count	InGel_1_3 Total Spectral Count	InGel_1_4 Total Spectral Count	InGel_1_5 Total Spectral Count	InGel_1_6 Total Spectral Count	InGel_2_1 Total Spectral Count	InGel_2_2 Total Spectral Count	InGel_2_3 Total Spectral Count	InGel_2_4 Total Spectral Count	InGel_2_5 Total Spectral Count	InGel_2_6 Total Spectral Count	InTip_1_1 Total Spectral Count	InTip_1_2 Total Spectral Count	InTip_1_3 Total Spectral Count	InTip_1_4 Total Spectral Count	InTip_1_5 Total Spectral Count	InTip_1_6 Total Spectral Count	InTip_2_1 Total Spectral Count	InTip_2_2 Total Spectral Count	InTip_2_3 Total Spectral Count	InTip_2_4 Total Spectral Count	InTip_2_5 Total Spectral Count	InTip_2_6 Total Spectral Count	InGel_1_1 Intensity	InGel_1_2 Intensity	InGel_1_3 Intensity	InGel_1_4 Intensity	InGel_1_5 Intensity	InGel_1_6 Intensity	InGel_2_1 Intensity	InGel_2_2 Intensity	InGel_2_3 Intensity	InGel_2_4 Intensity	InGel_2_5 Intensity	InGel_2_6 Intensity	InTip_1_1 Intensity	InTip_1_2 Intensity	InTip_1_3 Intensity	InTip_1_4 Intensity	InTip_1_5 Intensity	InTip_1_6 Intensity	InTip_2_1 Intensity	InTip_2_2 Intensity	InTip_2_3 Intensity	InTip_2_4 Intensity	InTip_2_5 Intensity	InTip_2_6 Intensity	InGel_1_1 MaxLFQ Intensity	InGel_1_2 MaxLFQ Intensity	InGel_1_3 MaxLFQ Intensity	InGel_1_4 MaxLFQ Intensity	InGel_1_5 MaxLFQ Intensity	InGel_1_6 MaxLFQ Intensity	InGel_2_1 MaxLFQ Intensity	InGel_2_2 MaxLFQ Intensity	InGel_2_3 MaxLFQ Intensity	InGel_2_4 MaxLFQ Intensity	InGel_2_5 MaxLFQ Intensity	InGel_2_6 MaxLFQ Intensity	InTip_1_1 MaxLFQ Intensity	InTip_1_2 MaxLFQ Intensity	InTip_1_3 MaxLFQ Intensity	InTip_1_4 MaxLFQ Intensity	InTip_1_5 MaxLFQ Intensity	InTip_1_6 MaxLFQ Intensity	InTip_2_1 MaxLFQ Intensity	InTip_2_2 MaxLFQ Intensity	InTip_2_3 MaxLFQ Intensity	InTip_2_4 MaxLFQ Intensity	InTip_2_5 MaxLFQ Intensity	InTip_2_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|P12970|RL7A_MOUSE	P12970	RL7A_MOUSE	Rpl7a	266	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L7a	1.0	0.999	29	1054	1054	1054	36	30	29	35	40	33	34	30	32	36	33	41	53	50	51	44	44	38	67	60	56	60	58	64	36	30	29	35	40	33	34	30	32	36	33	41	53	50	51	44	44	38	67	60	56	60	58	64	36	30	29	35	40	33	34	30	32	36	33	41	53	50	51	44	44	38	67	60	56	60	58	64	1765160.8	1938155.4	1726442.8	1602239.2	1740607.5	1656722.0	2341587.8	2137932.5	2253158.0	2438294.2	2299982.8	2415358.5	1864481.8	1905111.9	1915367.1	1802089.2	1834000.1	1837082.0	2562734.2	2239909.0	2453204.0	2519438.5	2343858.0	2415403.5	915103.6	978188.44	871760.7	916811.8	813179.1	848677.94	1004107.0	964818.5	1028546.5	1080110.8	994486.8	1090979.6	1020871.2	1066634.2	1022786.3	970397.9	997329.9	987256.3	1095569.8	985306.1	972716.5	1126868.2	1035395.6	1105123.4	
sp|P13020|GELS_MOUSE	P13020	GELS_MOUSE	Gsn	780	Mus musculus OX=10090	1:Experimental evidence at protein level	Gelsolin	1.0	0.999	12	92	2	92	4	1	1	0	0	0	4	3	2	2	3	2	3	3	2	4	3	5	7	8	19	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	1	1	0	0	0	4	3	2	2	3	2	3	3	2	4	3	5	7	8	19	4	6	6	78280.984	57449.0	18412.645	0.0	0.0	0.0	92918.516	92563.29	92514.04	67757.87	100196.72	83172.66	74429.49	170120.89	58388.523	112689.49	61119.71	146094.25	152127.38	162534.2	241578.95	126873.3	159794.88	143572.9	77618.375	0.0	0.0	0.0	0.0	0.0	81191.125	84786.52	88430.414	0.0	81550.89	67089.4	66231.36	91188.336	59141.73	59642.09	56291.03	76603.875	80785.945	82542.46	101363.38	69179.03	71345.0	74407.125	
sp|P13439|UMPS_MOUSE	P13439	UMPS_MOUSE	Umps	481	Mus musculus OX=10090	1:Experimental evidence at protein level	Uridine 5'-monophosphate synthase	1.0	0.999	15	210	210	210	7	6	5	6	3	2	4	5	5	9	6	8	13	16	8	15	21	8	8	12	4	17	11	11	7	6	5	6	3	2	4	5	5	9	6	8	13	16	8	15	21	8	8	12	4	17	11	11	7	6	5	6	3	2	4	5	5	9	6	8	13	16	8	15	21	8	8	12	4	17	11	11	85661.35	89869.625	88502.195	116978.38	0.0	33954.902	97375.32	113875.266	116292.805	119898.266	125783.734	114216.875	93577.36	128592.7	113104.22	140079.03	137719.83	114724.94	145119.25	207654.0	49591.594	110455.39	171894.86	83539.47	74830.625	76593.664	76946.01	100713.875	0.0	0.0	80654.61	91331.79	98794.45	88572.95	101429.414	89805.29	72549.58	79814.6	69107.98	73607.33	70217.766	68020.1	73897.24	87882.26	73477.63	60873.22	86000.445	63620.164	
sp|P13516|ACOD1_MOUSE	P13516	ACOD1_MOUSE	Scd1	355	Mus musculus OX=10090	1:Experimental evidence at protein level	Acyl-CoA desaturase 1	1.0	0.999	11	120	52	120	8	2	6	6	8	6	1	0	0	0	1	3	11	8	8	20	13	10	2	1	2	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	7	5	6	12	10	8	0	0	1	0	0	0	8	2	6	6	8	6	1	0	0	0	1	3	11	8	8	20	13	10	2	1	2	2	1	1	128042.664	0.0	123665.14	189845.95	394762.4	306233.88	40563.72	0.0	0.0	0.0	31767.771	37986.504	0.0	0.0	0.0	0.0	0.0	0.0	78115.17	43954.37	42000.535	41795.91	48060.945	92192.4	125045.74	99668.73	126100.79	204360.75	440210.75	443256.78	0.0	0.0	0.0	0.0	0.0	0.0	411703.03	683414.06	723595.6	956831.8	513134.25	725600.0	82462.48	0.0	46437.492	0.0	0.0	0.0	
sp|P13597|ICAM1_MOUSE	P13597	ICAM1_MOUSE	Icam1	537	Mus musculus OX=10090	1:Experimental evidence at protein level	Intercellular adhesion molecule 1	1.0	0.999	5	62	62	62	0	1	0	0	0	0	2	2	3	2	1	2	2	6	3	5	3	4	2	4	3	10	6	1	0	1	0	0	0	0	2	2	3	2	1	2	2	6	3	5	3	4	2	4	3	10	6	1	0	1	0	0	0	0	2	2	3	2	1	2	2	6	3	5	3	4	2	4	3	10	6	1	0.0	33761.863	0.0	0.0	0.0	0.0	47695.69	45028.645	57022.594	55931.836	40264.27	60760.38	17415.045	25892.094	13804.076	33529.61	24877.104	35205.004	38540.965	132507.3	65719.67	125127.766	113062.695	50937.555	0.0	0.0	0.0	0.0	0.0	0.0	43005.996	0.0	51415.83	0.0	0.0	0.0	0.0	0.0	23688.945	45533.85	39978.336	42911.137	0.0	63029.594	76346.016	69291.336	52672.285	0.0	
sp|P13634|CAH1_MOUSE	P13634	CAH1_MOUSE	Ca1	261	Mus musculus OX=10090	1:Experimental evidence at protein level	Carbonic anhydrase 1	1.0	0.999	7	52	52	52	0	0	0	0	1	1	0	0	0	0	0	0	9	10	3	5	5	6	0	8	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	9	10	3	5	5	6	0	8	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	9	10	3	5	5	6	0	8	0	0	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95177.234	86985.516	60597.406	86544.34	68208.1	81174.41	0.0	15233.036	0.0	0.0	16429.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70405.95	62332.098	45348.734	62969.23	49357.406	57177.453	0.0	42326.504	0.0	0.0	45987.637	0.0	
sp|P13707|GPDA_MOUSE	P13707	GPDA_MOUSE	Gpd1	349	Mus musculus OX=10090	1:Experimental evidence at protein level	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	1.0	0.999	33	1364	1268	1364	29	37	28	35	30	35	32	33	30	33	29	35	89	76	85	79	79	85	76	87	72	86	91	73	29	37	28	35	30	35	31	32	30	33	29	32	80	69	76	72	70	75	71	80	68	78	84	64	29	37	28	35	30	35	32	33	30	33	29	35	89	76	85	79	79	85	76	87	72	86	91	73	2429196.5	2731937.5	2448531.0	2896570.8	2042042.0	2393818.8	2018213.6	2067237.5	1765026.6	2237118.5	2056983.5	2111419.2	1583879.5	1774558.6	1769427.2	1624881.6	1530364.6	1625313.1	1987843.5	1824967.0	1749118.0	1560122.1	2066863.1	1944635.4	877385.94	982863.6	881370.1	910150.8	940330.44	831118.8	879741.75	848595.3	729106.8	862133.2	815630.2	890451.9	977963.25	984603.25	1000875.25	954113.25	920374.75	1015431.44	1161105.9	998932.7	1095937.0	969581.56	993786.6	1116849.4	
sp|P13745|GSTA1_MOUSE	P13745	GSTA1_MOUSE	Gsta1	223	Mus musculus OX=10090	1:Experimental evidence at protein level	Glutathione S-transferase A1	1.0	0.999	19	363	0	855	11	8	9	14	12	16	17	20	21	14	18	19	11	14	13	19	14	12	15	19	8	22	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	27	27	31	40	37	38	47	35	35	38	40	24	30	30	36	33	30	42	39	32	49	42	42	610599.5	745673.7	613430.2	892482.3	415489.12	768910.4	779732.06	1083767.5	1183904.4	1139861.9	1158333.5	1125712.8	671600.56	673114.4	712723.6	770947.25	725546.44	652058.6	667967.4	953633.9	571291.8	870965.4	1128758.1	672420.9	227406.16	310573.38	211759.69	360570.97	235326.36	324721.88	370849.62	491567.72	528478.25	467539.7	496654.2	493729.72	319410.5	317790.0	262852.72	331259.25	373896.56	304871.34	477018.6	512290.6	582901.1	467864.94	543225.6	479594.4	
sp|P14094|AT1B1_MOUSE	P14094	AT1B1_MOUSE	Atp1b1	304	Mus musculus OX=10090	1:Experimental evidence at protein level	Sodium/potassium-transporting ATPase subunit beta-1	1.0	0.999	10	385	385	385	18	10	10	11	8	11	18	19	13	17	15	21	15	13	12	18	16	14	21	22	18	20	22	23	18	10	10	11	8	11	18	19	13	17	15	21	15	13	12	18	16	14	21	22	18	20	22	23	18	10	10	11	8	11	18	19	13	17	15	21	15	13	12	18	16	14	21	22	18	20	22	23	260031.45	328946.94	291283.2	371970.16	41809.79	372139.16	776440.1	1015549.5	957951.5	904467.94	890847.06	755948.3	512225.88	536372.44	513388.34	493782.22	582795.6	525416.94	945085.5	1007918.5	929970.25	853514.44	918735.25	912513.3	310494.25	312593.38	322950.28	390477.2	293864.3	393648.3	404350.78	507846.25	450202.1	429237.28	426690.03	357510.75	316420.12	320306.03	312224.2	316450.84	358713.72	337146.66	424092.9	387786.16	408365.3	360611.9	361187.7	346916.6	
sp|P14106|C1QB_MOUSE	P14106	C1QB_MOUSE	C1qb	253	Mus musculus OX=10090	1:Experimental evidence at protein level	Complement C1q subcomponent subunit B	0.9994	0.999	2	20	20	20	1	0	0	0	0	0	2	1	2	2	1	1	0	0	0	0	0	0	1	1	2	2	3	1	1	0	0	0	0	0	2	1	2	2	1	1	0	0	0	0	0	0	1	1	2	2	3	1	1	0	0	0	0	0	2	1	2	2	1	1	0	0	0	0	0	0	1	1	2	2	3	1	0.0	0.0	0.0	0.0	0.0	0.0	38721.617	44233.625	43859.32	37411.043	41805.695	36786.02	0.0	0.0	0.0	0.0	0.0	0.0	36431.465	40828.805	40318.984	33404.883	39148.832	34170.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P14115|RL27A_MOUSE	P14115	RL27A_MOUSE	Rpl27a	148	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L27a	1.0	0.999	10	335	335	335	6	9	5	9	15	11	14	12	18	12	11	19	8	8	9	9	7	7	24	25	20	31	22	24	6	9	5	9	15	11	14	12	18	12	11	19	8	8	9	9	7	7	24	25	20	31	22	24	6	9	5	9	15	11	14	12	18	12	11	19	8	8	9	9	7	7	24	25	20	31	22	24	1655482.1	1719569.6	1452294.6	1651614.9	641560.44	1520525.6	922858.3	497297.62	914494.2	946627.0	809130.9	640114.4	2001667.6	1969158.4	1998922.1	1909739.5	2280473.5	2166645.8	839684.56	1131763.8	777956.6	1139138.5	1144787.4	1024276.4	1008396.4	797242.5	870498.06	903034.25	822793.1	682766.0	620527.7	455040.62	614165.75	597417.0	535249.44	636451.75	1269845.0	1285929.6	1189497.0	1232807.8	1394231.8	1387664.8	1213977.4	877386.9	810552.6	880004.8	894858.75	894505.3	
sp|P14131|RS16_MOUSE	P14131	RS16_MOUSE	Rps16	146	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S16	1.0	0.999	16	671	671	671	19	26	27	22	25	24	30	31	26	31	31	31	18	23	22	24	19	21	48	33	37	31	31	41	19	26	27	22	25	24	30	31	26	31	31	31	18	23	22	24	19	21	48	33	37	31	31	41	19	26	27	22	25	24	30	31	26	31	31	31	18	23	22	24	19	21	48	33	37	31	31	41	456789.3	573122.75	418029.72	472632.38	547339.9	533624.8	915489.4	985821.4	1093484.6	1145307.2	1032334.4	1233788.5	1795132.5	1679150.0	1852526.5	1840704.0	1981983.1	1999177.2	1277014.2	1486336.2	1139890.1	1372960.0	1542557.2	1256399.4	740584.3	623435.5	600359.06	717655.0	741598.56	696669.9	709502.1	677441.9	741936.94	802715.44	746919.4	793219.9	937853.8	1030244.9	1041749.2	991576.25	1198034.5	1116443.8	846051.5	767271.5	654126.4	842799.9	771248.56	572862.44	
sp|P14148|RL7_MOUSE	P14148	RL7_MOUSE	Rpl7	270	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L7	1.0	0.999	38	1496	1496	1496	46	50	51	41	55	45	54	49	45	52	46	58	63	61	70	70	63	71	87	81	96	84	73	85	46	50	51	41	55	45	54	49	45	52	46	58	63	61	70	70	63	71	87	81	96	84	73	85	46	50	51	41	55	45	54	49	45	52	46	58	63	61	70	70	63	71	87	81	96	84	73	85	2052478.0	2141209.2	1873753.0	2056462.2	2309760.2	2165174.5	2478636.2	2243673.0	2332368.2	2520575.0	2336644.8	2479930.2	2046248.2	2048326.0	2149514.5	2050778.6	2149457.5	2097608.2	3066066.2	2474534.2	3018645.5	2710257.5	2493799.5	2561820.0	1310695.6	1288887.1	1319124.8	1290974.6	1686747.1	1437080.2	1193251.9	1012090.56	1108034.9	1176471.6	1083637.5	1146174.6	1039973.25	1076437.8	1141057.0	1058564.4	1108963.0	1082558.2	1732062.4	1242598.6	1748100.6	1426495.5	1293055.8	1612297.6	
sp|P14152|MDHC_MOUSE	P14152	MDHC_MOUSE	Mdh1	334	Mus musculus OX=10090	1:Experimental evidence at protein level	Malate dehydrogenase, cytoplasmic	1.0	0.999	28	974	974	974	12	14	11	15	18	15	21	50	53	40	38	40	44	55	37	41	43	58	64	75	54	48	64	64	12	14	11	15	18	15	21	50	53	40	38	40	44	55	37	41	43	58	64	75	54	48	64	64	12	14	11	15	18	15	21	50	53	40	38	40	44	55	37	41	43	58	64	75	54	48	64	64	2245682.0	2236758.5	2104671.0	2152278.0	1141903.0	2015709.6	3422511.8	4530939.0	4052150.0	3932935.8	4364565.0	3974197.5	4033654.2	4972563.0	4181259.0	3886854.8	4104772.2	4116561.5	3623951.8	4903951.5	3511780.0	3504828.0	5365800.0	4238107.0	1600714.2	1158776.5	1546060.2	1577966.9	994582.44	1612491.6	2312236.2	2692394.5	2099942.8	2151034.5	2364150.8	2092001.5	1506577.5	2144184.5	1651568.4	1610410.4	1751349.8	1766571.8	1930636.1	2837474.0	1784612.2	1948471.9	2691671.2	2420418.5	
sp|P14206|RSSA_MOUSE	P14206	RSSA_MOUSE	Rpsa	295	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein SA	1.0	0.999	28	1085	1085	1085	15	19	27	22	21	20	28	38	33	28	25	38	66	51	57	65	60	67	57	68	61	73	63	83	15	19	27	22	21	20	28	38	33	28	25	38	66	51	57	65	60	67	57	68	61	73	63	83	15	19	27	22	21	20	28	38	33	28	25	38	66	51	57	65	60	67	57	68	61	73	63	83	2158181.8	2108312.5	2326057.2	2161782.0	2872518.2	2590261.2	2152942.0	2071882.4	1812175.9	2153983.5	2236541.0	2073955.5	1228047.2	1392873.8	1345660.8	1334214.2	1315017.8	1303681.4	2049586.1	1686884.8	1743948.8	1782848.4	1795336.4	1947385.2	1395621.0	1363531.6	1394980.5	1589151.2	1020006.94	1432968.6	1110881.5	1012791.4	1076961.1	1240282.0	1075068.6	1145817.1	1770220.6	1678409.0	1530214.8	1624646.5	1763860.1	1753725.0	1253501.1	1206423.9	1296260.6	1261183.8	1222751.0	1369514.2	
sp|P14211|CALR_MOUSE	P14211	CALR_MOUSE	Calr	416	Mus musculus OX=10090	1:Experimental evidence at protein level	Calreticulin	1.0	0.999	50	1566	1566	1566	32	30	29	36	28	37	49	58	69	63	68	68	70	65	73	67	52	76	91	102	87	108	112	96	32	30	29	36	28	37	49	58	69	63	68	68	70	65	73	67	52	76	91	102	87	108	112	96	32	30	29	36	28	37	49	58	69	63	68	68	70	65	73	67	52	76	91	102	87	108	112	96	1014518.0	1031459.3	988882.2	1049019.5	395786.7	815686.5	1764605.0	2017428.1	2198695.8	2023750.4	2051800.8	1965488.9	1120164.0	1381332.5	1166274.0	1120300.0	865138.9	980180.25	1229232.2	2021011.6	1019679.9	1771377.6	2333897.5	1192735.6	533841.44	575670.9	526274.6	536414.5	287077.6	493814.78	824185.56	929709.7	978711.06	1029027.5	924586.0	922448.06	660010.2	746064.44	649177.2	640850.56	519394.56	570504.06	742000.1	897016.2	656696.44	806539.7	977338.9	834534.94	
sp|P14246|GTR2_MOUSE	P14246	GTR2_MOUSE	Slc2a2	523	Mus musculus OX=10090	1:Experimental evidence at protein level	Solute carrier family 2, facilitated glucose transporter member 2	1.0	0.999	12	305	305	305	10	8	7	15	6	9	5	10	15	11	6	12	14	25	20	17	17	18	12	15	11	16	14	12	10	8	7	15	6	9	5	10	15	11	6	12	14	25	20	17	17	18	12	15	11	16	14	12	10	8	7	15	6	9	5	10	15	11	6	12	14	25	20	17	17	18	12	15	11	16	14	12	350789.4	359316.94	347600.7	401477.44	429823.16	386978.47	422567.44	527762.7	594026.2	475068.3	452048.75	510810.12	679750.0	661899.8	687006.56	719412.1	744193.4	713451.5	754574.9	723390.25	751942.2	712339.1	659711.0	719599.4	288897.2	315634.8	296751.56	273004.0	330732.1	327060.88	249422.23	278171.6	296925.9	276908.25	252079.69	281372.2	340657.66	370691.97	373077.72	377708.06	384624.4	367899.16	385191.22	331181.8	356254.72	305865.7	282547.72	323697.4	
sp|P14427|HA14_MOUSE	P14427	HA14_MOUSE	H2-D1	368	Mus musculus OX=10090	1:Experimental evidence at protein level	H-2 class I histocompatibility antigen, D-P alpha chain	0.9943	0.9956	7	2	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P14483|HB2A_MOUSE	P14483	HB2A_MOUSE	H2-Ab1	265	Mus musculus OX=10090	1:Experimental evidence at protein level	H-2 class II histocompatibility antigen, A beta chain	0.9774	0.999	4	5	5	5	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	27322.146	0.0	0.0	0.0	0.0	32984.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22603.588	0.0	18548.422	22920.855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P14576|SRP54_MOUSE	P14576	SRP54_MOUSE	Srp54	504	Mus musculus OX=10090	1:Experimental evidence at protein level	Signal recognition particle 54 kDa protein	1.0	0.999	20	183	183	183	3	5	3	4	4	3	9	7	10	9	6	7	12	7	9	13	6	7	7	9	9	15	8	11	3	5	3	4	4	3	9	7	10	9	6	7	12	7	9	13	6	7	7	9	9	15	8	11	3	5	3	4	4	3	9	7	10	9	6	7	12	7	9	13	6	7	7	9	9	15	8	11	91416.14	90262.73	94279.84	49565.055	118334.016	39314.92	241290.67	196403.16	198949.4	189027.34	166192.05	193454.94	91570.734	91408.12	102366.07	95677.57	88209.09	96085.26	243242.72	210159.11	275861.44	219008.12	213093.94	241548.31	105100.36	112981.34	110942.34	71904.266	138337.0	51210.758	85624.82	76768.95	77673.76	80851.2	64880.082	81006.58	95737.96	91802.43	114704.58	103409.66	108249.21	114483.99	101547.53	85282.13	108480.97	92303.96	85219.77	103844.23	
sp|P14685|PSMD3_MOUSE	P14685	PSMD3_MOUSE	Psmd3	530	Mus musculus OX=10090	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 3	1.0	0.999	35	719	719	719	18	20	17	11	4	17	15	22	20	25	24	33	40	50	33	37	45	47	31	43	27	49	48	43	18	20	17	11	4	17	15	22	20	25	24	33	40	50	33	37	45	47	31	43	27	49	48	43	18	20	17	11	4	17	15	22	20	25	24	33	40	50	33	37	45	47	31	43	27	49	48	43	340824.06	392128.34	320916.4	43016.9	93307.34	316397.06	295337.9	406363.78	372610.5	411256.75	422415.75	455057.7	333093.12	343984.25	225127.56	206602.0	216937.47	332843.8	270615.7	204985.19	167787.67	170545.31	322000.47	272963.22	242571.45	243101.17	237038.55	217609.17	225743.58	233464.75	204090.33	206043.9	187480.1	209743.0	223366.52	208541.9	233089.02	245334.3	244065.16	228279.86	237566.3	242299.45	181242.97	218609.88	180842.84	214377.36	208217.48	211046.02	
sp|P14733|LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lmnb1	588	Mus musculus OX=10090	1:Experimental evidence at protein level	Lamin-B1	1.0	0.999	38	537	458	563	16	14	13	15	17	15	27	20	25	22	37	22	24	19	26	29	28	26	22	21	26	33	23	17	13	13	12	13	13	12	23	16	22	19	29	20	22	17	24	27	25	24	19	14	24	27	17	13	16	15	14	15	19	16	28	22	29	26	41	23	25	19	26	29	28	27	22	22	26	34	24	17	308110.1	288666.94	273141.7	302642.53	354137.7	341843.34	344882.3	316065.97	346009.53	263512.5	371081.44	295669.2	265675.22	178952.95	270666.66	289621.25	227804.9	267727.47	253631.9	266967.5	344321.4	300249.06	291040.25	277839.44	139901.2	142024.7	140232.47	140581.64	195289.83	168408.7	162636.38	160386.83	157505.98	156729.08	175258.19	154833.73	117814.5	126062.86	122675.734	118442.63	131791.64	118030.68	156011.12	152511.73	186897.94	152326.78	171133.73	175322.78	
sp|P14824|ANXA6_MOUSE	P14824	ANXA6_MOUSE	Anxa6	673	Mus musculus OX=10090	1:Experimental evidence at protein level	Annexin A6	1.0	0.999	65	1912	1889	1912	49	68	46	57	31	50	59	82	76	68	70	86	87	94	103	103	98	95	77	121	67	118	117	90	48	67	46	55	31	50	58	81	76	67	68	85	86	92	102	102	94	94	76	120	67	118	116	90	49	68	46	57	31	50	59	82	76	68	70	86	87	94	103	103	98	95	77	121	67	118	117	90	513677.56	524355.9	484249.75	598599.3	393885.06	574404.6	406335.22	535620.6	490658.6	406020.84	487879.38	416804.5	388555.34	478164.94	430344.1	412902.38	390697.2	393376.88	320855.66	462369.66	261498.78	378735.38	452958.28	307418.62	375413.34	373722.0	344437.88	427073.6	260589.45	428791.88	396202.4	495902.66	455219.6	381675.3	412479.4	376517.66	418319.47	491944.12	426697.84	442825.6	445158.1	441784.2	334206.3	409382.3	358219.16	366399.25	387331.94	337296.12	
sp|P14869|RLA0_MOUSE	P14869	RLA0_MOUSE	Rplp0	317	Mus musculus OX=10090	1:Experimental evidence at protein level	60S acidic ribosomal protein P0	1.0	0.999	21	610	610	610	14	22	12	17	10	10	24	23	24	24	18	22	32	40	35	31	42	29	31	36	22	36	30	26	14	22	12	17	10	10	24	23	24	24	18	22	32	40	35	31	42	29	31	36	22	36	30	26	14	22	12	17	10	10	24	23	24	24	18	22	32	40	35	31	42	29	31	36	22	36	30	26	1640275.6	1599106.8	1616024.6	1565841.2	1357712.6	1501579.6	1633664.0	1348773.5	1355371.1	1240429.8	1421995.1	1263960.2	1352071.4	1419385.2	1358137.0	1391614.5	1273521.6	1276530.8	1577805.6	1590239.5	1329937.1	1688771.1	1653950.0	1453776.0	941584.8	887533.8	1002562.0	938504.1	947526.6	972726.44	1109351.1	937892.56	993996.75	984771.4	1045823.0	1022578.94	930087.1	948005.44	950547.7	940096.4	952473.94	925986.7	981290.56	1078948.2	853516.8	1171771.9	1114578.6	939536.06	
